Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,98432.31306226326,39937.56498061094,35949.332874866064,36114.989775648115,34099.28065217555,30470.00032063979,37997.82866566455,37695.188967820795,36865.33771736208,18711.699096643337 
1,37273.893939393936,37982.91254521476,33782.412342126765,34299.191625183106,23193.4715965726,26201.85891726744,35593.138217190266,35747.64945517829,34717.64967716408,18429.85970270431 
2,35678.66163589015,36043.17596152067,33080.92254811555,33468.33228721532,22113.681106969143,28844.527391538806,34805.499322841766,33880.2968929733,33199.926842946326,21213.04921662405 
3,34513.479048295456,35283.470716061325,31707.744299228852,32378.803821566224,21705.303442033364,25367.168850640417,33455.50966330838,33060.08463048506,32306.15494427073,20411.58886167971 
4,33431.453006628784,36208.49438188474,32139.041778028277,33083.72091955335,18068.489667361882,26495.65906303072,34119.783487535664,33577.23422489214,32507.657339852212,16716.997385237337 
5,32858.454959753784,33880.62762411872,30291.14088823517,30982.693663204052,19388.451664261393,21652.02261346543,31919.86458338064,32079.234379325004,31328.93162659514,19857.272969875365 
6,33244.376568418564,33681.80744346104,29392.01555413684,30516.19866262734,16423.33531303108,21146.706981440082,31100.020238115438,31225.739345632253,30213.388190693884,16155.746278456003 
7,31146.79021661932,31045.216020794975,28360.787025601796,29032.18937747669,19614.313661523895,23940.684287944077,29890.808169169544,28972.903216624214,28715.21411324519,22064.587569999574 
8,28369.113429214016,28081.082064316215,25381.09283422212,26188.01422267137,16470.742747845747,20587.80115157345,26883.440255424946,26102.831823815344,25906.744297426223,18708.706226439117 
9,23802.509410511364,18356.33969788529,17396.759974688026,17638.670454789026,10534.26853311879,16658.764010745723,18049.528753584265,17150.551383345963,17285.298485307732,14445.548312170506 
10,13489.418235085228,7446.761348431243,8018.725191091862,7989.895022312165,4484.924701947199,10519.060042930156,7363.174100182081,7259.109003905058,7762.690520791262,12947.508144470245 
11,3405.4631893273554,593.3277142104258,536.3589994437413,550.4506472300664,1851.5519148059323,620.0192936174254,530.8276918941159,574.8423177886158,523.4993367243619,500.11842965262383 
12,1744.4419819224966,909.9963983735856,1052.9926824448526,959.9068236369715,2075.8921572588283,1119.7123994871602,904.4102207362578,896.2831997482181,986.9997276805472,1353.2862218830976 
13,497.5418349757339,190.6062713329018,158.0922983089524,152.78174987562747,1666.767267363341,133.997133148605,167.10973416014016,177.66861634193734,149.07599371545064,56.19995960612781 
14,483.8025554310192,146.7723427376006,108.96727308363964,115.61203084629774,1294.8337841493947,125.00927324389852,131.35963828098588,133.70976677022128,115.20275130906329,67.00964893143625 
15,229.90555520491168,1559.897589533329,1419.3047897368008,1465.8221975450515,1476.8697611728494,1089.9475269107818,1417.890054993391,1507.540438908577,1453.2766562122106,1152.914338859558 
16,1656.476062890255,629.0284524942272,696.2697717164043,656.62611080046,2123.906761325947,657.7096193908155,629.0163895706963,615.6247940605301,657.1666794074475,748.485119331479 
17,393.77462155891186,246.98384171005546,239.64032690160596,233.5334344866448,1561.6376347555542,218.07131450629234,237.7276424486586,259.8929515483249,219.98519078667323,89.1303037295863 
18,489.81093643650865,115.54661828083348,105.6851475769302,100.28234871690721,1337.6077232568657,79.17252021978982,103.23658315137214,116.7173331900239,105.84021630067798,39.80240276616625 
19,163.9194262533477,286.2220844960337,272.87231219632963,274.8904914346938,1435.6558553440032,275.1131016115397,274.81129185779395,280.6521048612464,266.9075644188356,160.83446130102126 
20,188.90844957756275,223.55937269982365,210.21148276055231,211.6010161177758,1424.8893722577461,165.2313694568351,211.84089457340167,228.09702578912675,208.71838621208258,120.59182549853622 
21,174.52823349923798,805.0009754182564,712.1225581317477,746.4459999099374,1418.6091344368022,646.4009770671129,730.0033912796006,723.2443929027617,745.6758369873916,572.5583136205971 
22,524.3194665908813,2258.942124860022,2319.6917341952853,2315.5696636219027,1833.2766542549732,2422.36538394928,2233.1288068876265,2266.8680189676284,2300.974943052292,2724.156625946045 
23,866.7472319169478,861.2495734978799,806.3549727092208,811.1850021434892,1875.3752213404823,985.7688758152723,810.6316719193012,798.0733330007643,767.9322238185201,439.69539410939814 
24,1543.9450452399976,2793.6063574838554,3368.1706767125593,2978.3481739212943,2830.3296233854735,3966.492049737096,3075.4063572241366,2962.3678702850343,2955.447298345037,2198.714737969041 
25,1537.9009389010344,336.8520620086582,342.4099048802505,324.45295728861214,2591.9210307473354,401.0678963718363,335.2265891466029,335.4742314765658,291.4609265886787,92.28022580586374 
26,284.0742605382746,270.53402656453767,249.6860552324334,261.63481345281,2429.4161911384476,259.02939187113196,253.924882379435,238.44731019322015,252.938043517977,244.0676430582851 
27,256.02972871607,207.11290854382017,172.11136165296037,193.92399593523518,2319.8664908320548,280.00459183773955,210.42846023966464,187.60020272892714,182.3592110664118,106.28321478883736 
28,375.8467876260931,105.67010958445776,93.72365153206306,89.37524478002265,2195.705561488797,72.9121076950524,97.0586115164701,104.69650060685724,96.83546175421775,31.88090996105969 
