Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,9944984.170809658,3322754.7977050673,3367968.1240298017,3236545.5434621116,3885625.076464844,3704824.2005859376,3535626.6374497013,3371064.3245368777,3176918.1747332937 
1,2761468.788470644,3463072.995759567,3893627.4079087344,3500493.9763716925,677527.5280011537,125743.22460786105,3216666.718076876,3962114.685504115,3617830.224702443 
2,2688314.8970170454,2815007.0657880073,2849501.7574639353,2804268.170471333,2375962.9393068315,575125.1841308593,2186714.374307081,3523916.322372341,3163862.391684103 
3,2324699.354876894,2138353.675475277,2228548.657404772,2100198.261526959,1616491.9061045023,442258.34033203125,1538940.5821522786,2855105.349291742,2482606.9030706408 
4,2165005.0855232007,2476710.8913915423,2769671.492845482,2502144.3287072536,1259349.0467264652,464673.4052734375,2131799.639805869,3243822.6708858307,2874381.4843352 
5,2090394.4365530303,1959533.642574125,2103331.5225103917,1981554.6814222443,1568896.7550666186,732705.28671875,1509898.3318552838,2702678.246779129,2369782.909483352 
6,1975068.8728101326,1926318.3242522643,2039483.2595341604,1918651.3098577922,1557131.684033382,736188.6911132813,1396175.2639586926,2551684.8506308077,2264008.8562332406 
7,1886461.9140625,2052923.852979532,2025377.450725052,2026053.264226543,1769133.0999588012,1009571.214453125,1612399.6252050407,2507107.0669209943,2291983.637998593 
8,1954628.330669981,2389068.949544483,2818778.8580966494,2481795.842704669,869615.0551145732,478543.972265625,2005280.484647191,3085766.7021180033,2769989.820876446 
9,1867874.988162879,1674971.8701111344,1769999.2319998543,1686362.0694448582,1476925.7448342324,735504.1560546875,1221089.9009223052,2358825.425923288,2058618.5575995632 
10,1913785.634173769,1990903.6159177588,2196572.009313703,1995405.336103383,786894.5213880407,511625.7365478516,1641956.6415227323,2672002.189319027,2378947.454415195 
11,1724885.107421875,1645682.8006130937,1774327.296899965,1654684.137104887,1493323.1840194701,912212.4389648438,1351143.286298427,2151626.2250186563,1920654.8660208702 
12,1541910.412227746,1433654.8690091667,1651386.1579049164,1472727.2439725588,794778.0199557543,619102.6892089844,1157672.4279145063,1889808.721625462,1685279.0241129883 
13,1566337.2647372158,1304457.684695959,1435852.5111171256,1322147.3837166033,662197.3338610552,452200.38525390625,1141905.8747133089,1764969.9418183954,1586610.2400457026 
14,1417432.2184244792,1216647.867523329,1374670.5506363916,1248836.6918464832,1172375.5861831426,1093864.6467773437,1026795.4430544131,1690415.2333458213,1476590.0760955573 
15,1198819.708066998,1240343.4381344684,1268669.2912008497,1220957.2431303265,617509.1682648659,605902.5294921875,1313053.9205365672,1440361.958278039,1302640.9514261247 
16,1136368.8920454546,1210595.9154624012,1238552.2520836724,1192464.328504846,791865.6933501244,763509.8349121094,1293435.6233029098,1401758.1561808018,1235615.2622497722 
17,905322.149473248,895343.6024007135,917925.2705959032,913724.6487196457,573802.6965110659,706983.6764160156,1098772.8024016737,1066386.599281007,940814.2877323069 
18,894230.5937795928,849921.5052485267,945139.7519563535,870690.5152441129,498445.16696654377,516288.8703369141,914043.637788345,1078302.7323824286,953562.5514292426 
19,743112.8747188684,743105.630118731,807959.9140792431,750248.3306823508,430329.8367458277,649999.5809570312,1014692.7835254669,836194.6857355549,768048.9597236469 
20,603327.2287079783,492671.4128868118,545337.1427050299,510087.1851633441,415449.6266153015,634476.9549316406,841779.4235244275,560130.6981040954,528911.7171666343 
21,465223.48114938446,355643.8867103424,444454.90345091367,414304.2161025099,284531.8195466191,326349.26232910156,615845.6486124725,522253.25326695014,450783.02775808645 
22,537463.5048606179,776633.2183742789,865592.9043484894,840914.3006361759,492864.36833941936,383816.1369140625,773289.8102117705,1199370.1806096435,996754.9924011469 
