Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,101600.11402107007,36676.51817701499,32760.751755428446,36056.10732586987,37429.054702322006,34348.12149496722,41164.020647006306,34620.81906897873,33588.66524360615,24858.882929558782 
1,31493.863340435608,30628.332024497984,26485.102550261163,29982.779583282594,15794.880009084225,23894.80942703052,29164.930931421524,30066.26567463684,27866.380051851214,20725.01979213929 
2,27304.218069365532,31575.463977011044,30430.076960253187,31692.839888129434,21789.35293252033,31703.783391371788,26873.318605829478,32827.62720780373,30227.218034790636,39803.89149975991 
3,25852.040690104168,26130.113615706763,22764.34991902805,25422.61284619594,11265.285281014278,21147.53156994913,17323.21601890123,27411.890927573517,24571.678578077437,16816.1503508854 
4,24821.568773674244,27236.390697380742,26334.361172839057,27153.646658122703,20472.540345430432,27355.717030434556,20666.670546318426,29281.49772565475,26161.524436161788,36079.93224331617 
5,23805.941332267994,24519.278319885034,23272.308270382153,24223.477082329413,18148.186324249713,24595.38871232101,17413.66851738787,26193.89113097906,23492.911592436314,31759.182512894033 
6,21874.092122395832,28116.78100969201,22567.41368974818,26261.146418631863,9082.449983322553,19591.73790198755,15559.55692213297,29594.755711667895,25635.05245571093,11756.750394328952 
7,22411.504557291668,21530.985052411954,18649.60105552117,20548.97868952956,11874.366820466757,18657.14366374284,13642.938265460254,22739.843988350392,20121.21563335915,16934.053449517727 
8,20328.398008404358,19717.3613617864,17179.252683271552,19276.969355448386,10224.287455742307,17046.243820167063,13249.648267091394,20782.542544281707,18812.840215477943,14280.793973836138 
9,18895.883345170456,17723.727807243995,16469.562934423488,17598.202093999487,12457.570788520246,20330.535127893658,13853.50115770948,17906.269677060343,16948.214839670272,15183.24833664146 
10,15913.22978811553,14338.695727678347,12618.675284503905,14345.14364120603,9741.055213803767,17803.206553883192,13839.3779954931,14037.030499306917,13851.07644689107,9787.801091014862 
11,14188.075654000946,12454.904149002632,10391.060558812453,12214.631624268382,8296.009495389939,16549.71166646883,11221.692593853935,11412.832985197761,11932.61502704633,6757.308691623866 
12,11231.729055693655,10004.289361059104,9069.915774428886,9926.955869338743,8050.818937821852,19906.049937472344,13840.265016021542,8529.050729970366,9185.244310670549,11112.799937134267 
13,13500.137273615057,10967.788099050986,9707.094179093607,10754.613838737729,10069.16239150466,16405.887241288216,11754.797935615316,10157.709334679961,9994.715575618058,11696.188443168401 
14,9668.376072739109,6302.845985739562,5500.955608849115,6717.940137661532,4977.419376338393,16422.6596832195,10288.300531477698,4695.086061122179,6377.817993841618,3502.2332456429003 
15,6494.371700402462,5891.974244427457,6468.821449364954,6277.850212614637,5075.728817641707,15024.070952571392,11481.805698024988,4331.358679411828,6199.051880410254,7183.000091527939 
16,6197.2786939216385,6899.65551961465,6868.861851517964,7267.820210082093,4004.091510393113,12543.444496613996,9677.045717249766,6702.363998680621,6773.063004808307,8724.801266620756 
17,5832.407270951705,4320.5511954073445,4930.951131837952,4912.8371820656985,3697.30572866291,12061.065502389132,8728.220358637243,3679.11260735628,4717.868613731392,6384.185810591414 
18,4316.788546475497,2867.7506123792336,2541.0519789382815,2909.949068495414,2734.461155577585,6845.378814805761,6659.937253135145,1694.6018548318223,2874.3146249920205,1207.120531206578 
19,4534.3849542791195,12190.451337575292,12130.085929193232,11287.410575316986,6396.754304434061,11291.198252972632,10348.391848242849,11964.304408649445,10314.818375538469,18303.377073043823 
