Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,20614647.200520832,7457936.923172023,7233379.699615108,6733836.4719569795,25532877.27578125,13339500.571875,6818883.8234938625,6740077.120576191,6758723.642291785 
1,5678625.331439394,4491081.082491518,4281883.325572335,6232284.411324954,18055886.35546875,11247969.5140625,4172751.22927376,6548566.859564692,6047469.876672173 
2,3224288.796164773,2303655.491893368,2376019.3172928793,4489922.434673197,1600861.559057617,754011.4735386716,2366975.122549951,4395428.182099178,3976500.0137954233 
3,2069699.297170928,1895430.2473717397,2007724.9130676556,7426535.199046548,1239856.2828220793,203814.27207375644,1996252.8896969066,7244087.124462748,6323551.835523117 
4,1824517.834102746,1623451.0603005753,1657115.53176708,7654913.561269233,770514.6765690856,178095.62519117826,1628002.2045049989,7486894.844204332,6408421.416910336 
5,1754459.6857244319,1801492.9370746845,1779687.195279163,9684688.006796174,682279.9125328958,247507.39134414511,1729533.2390462875,9421995.043690156,8029129.4761863705 
6,1700550.898141572,1502899.4222115444,1547200.1103195415,8864794.097326066,897502.5050593674,231673.77965412958,1494418.036265713,8625771.911146713,7352053.756324816 
7,1625007.0549242424,1478336.2007473318,1505816.7468448207,8085801.202140534,745257.1329381445,218004.62269563007,1431673.1641364,7910994.28497516,6739949.782133955 
8,1559472.7213541667,1426499.4898442824,1474165.753120702,8455452.585245943,764576.5148122072,300332.6580831489,1411601.2109320997,8280396.298084222,7022810.246233148 
9,1518987.0871803977,1396356.7069456312,1441596.4185765025,8583379.552638102,796791.3560798691,321282.1277617842,1361910.7178279161,8421585.34409129,7135720.079767731 
10,1515884.8958333333,1424410.3444499043,1450377.4318094526,8787132.548248012,718095.59300913,353660.35033955163,1358091.6127347946,8626527.173773194,7296886.816026658 
11,1450221.6870857007,1499543.61166056,1498162.7904994304,9353741.941287994,798201.8699224979,396843.5616583318,1366471.734037748,9205972.747881725,7782894.648832869 
12,1418436.8393406724,1336489.4463549529,1393680.3922752936,7606544.5569504285,780466.7387909426,346592.2818863185,1318063.1703984018,7547782.956594372,6382938.522669294 
13,1375995.7238399622,1380669.5463518195,1394465.5002019024,9301867.077712419,981991.7492804885,504544.5940774262,1256334.9717299945,9200496.58486123,7743777.752322877 
14,1353889.6129261365,1255332.8090604942,1346981.372140396,9746989.508714316,1207385.061542809,539244.2529890895,1288449.4615424573,9640913.776995288,8103555.007657212 
15,1328059.9831321023,1212999.533511988,1255623.766206738,10067463.388673753,1294874.9110355286,572737.4458610356,1158354.6649949928,9986670.589692885,8377036.543783176 
16,1273907.5994318181,1188180.5759698434,1233899.3648153883,9600275.966224516,1216376.0309438743,557605.6473908802,1139703.5149939635,9535975.367517544,7996424.915421325 
17,1235931.0709635417,1234637.9670345194,1286039.4885359216,13568567.623649383,2016867.9506751234,860853.2868124025,1185052.379881626,13367842.765700797,11212248.540049447 
18,1271320.7016453599,1104245.6100961957,1179578.7916742612,11431515.066934811,1809968.957896057,790326.9366536022,1099840.9616269455,11340442.068530893,9484391.063531924 
19,1179819.3929036458,1090211.2955230242,1145718.1175277894,10162893.750728417,1692396.9384450451,753795.330561018,1039341.0127451055,10155501.334332053,8485246.066446012 
20,1170489.9155125474,1043133.1315092775,1115051.3137055738,11091681.560424337,1969797.4484724102,837811.0448849201,1016719.35903287,11074356.103579354,9250356.611309074 
21,1113591.0415187026,1046401.1152522332,1077489.743130366,10335801.067798067,1960224.568490329,857089.1310100555,976381.2142131879,10371529.908941936,8649579.322418759 
22,1055897.6288766572,978484.7690013126,1040483.9049529788,11614201.81082461,2373918.7839772967,1014837.0744056702,967635.8337370151,11614148.602220714,9672983.021773571 
23,1028506.9402521307,1022768.3562746401,1053430.2056828872,13535222.345585536,2830398.0883034705,1183817.1065734862,927755.833656308,13487659.163936505,11246154.144914078 
24,982450.9625059186,910523.624478562,977896.7172095379,13645085.219907235,2949621.7682085796,1222942.0168960572,872868.7927813842,13591627.760554092,11324731.61340736 
25,958838.8701467803,1072645.42905894,1050103.2486770228,13816834.390214011,3265051.104649508,1329416.791381836,940637.5178987347,13834683.516801178,11517817.46072737 
26,931929.6238754735,807004.7249509747,863562.986188309,12823913.998885082,3217166.3087287424,1351914.7065063477,805978.5861030831,12854359.77986831,10669731.964823203 
27,844310.6430516099,819147.8828836879,851714.5402617289,15498398.640742885,3915951.651301655,1645950.38984375,773356.0075992644,15436458.711221885,12841896.56920226 
28,781067.2585227273,735384.657396853,806055.1877620621,12047431.787519606,3430339.6562632853,1432572.383432007,772052.0700920894,12098089.443348968,10020702.775241876 
29,758676.9475763495,641981.5587608033,690406.9573403364,12903385.35808382,3795896.0522557166,1601118.8514770507,635106.0013541891,12930294.898080124,10699855.039110877 
30,672430.1291725852,621330.9505596726,654244.5046678451,10627283.4658942,3202546.818194163,1343778.9399772405,576933.6860449135,10691092.105526198,8879942.270813972 
31,591859.4867128314,536609.5260746751,541924.721684014,13488210.45882739,4466933.96303374,1926808.3589355468,484533.75240658224,13504705.574431198,11202400.57823441 
32,508730.94482421875,749918.1109679813,729048.9614826175,15570379.69137372,5202119.474269523,2220513.8834472657,663103.7204268575,15536399.209218068,12974203.5024165 
33,429227.9992305871,360148.8445907914,378426.29928444326,13928697.94654823,5176663.263353002,2125375.8015441895,361663.16920680477,13968859.207663083,11575903.953119747 
34,356981.4869273793,308743.91881839104,336091.03277356795,13618373.46518481,5293077.0018211175,2162588.689160156,322270.09229432116,13667678.974125039,11316766.759363282 
35,286805.40771484375,347215.6037544145,333467.89403688244,15457710.475064721,6058672.84749414,2615029.1501464844,308695.3465185184,15457266.968706718,12851889.06643516 
36,288160.96024946735,197268.83319680495,208710.79732280143,11942481.04343501,4827194.457915042,2079475.5968383788,196115.05658266306,11984853.611087669,9956717.691681232 
37,180241.5869510535,180962.78558014333,183021.33059592298,9300459.4723007,3910046.4508321406,1794519.1608520509,167673.12598297076,9366679.742841175,7798969.894096605 
38,163686.24350807883,143182.6331643876,153082.70893740177,8488671.383496195,3815707.5716860066,1786643.906124878,142128.47131551447,8571387.969635403,7132254.542510548 
39,140989.665592078,115400.93884385709,124179.73968068861,8865584.187317371,4028586.298979342,1996304.0037109375,110665.74563673082,8929365.926402738,7435356.4509117855 
40,104862.82852635239,109610.51876289563,116531.01724630283,7265922.655968292,3327913.2839322328,1777469.0142211914,95467.97962127774,7340947.389619694,6139243.586649395 
41,109261.84322472775,151391.48314805827,150132.48163610717,5636375.054857762,2544229.7986987424,1452414.9578857422,128528.91305172312,5730742.161518741,4828694.137607687 
42,107371.40410452177,78494.54842406262,87674.10964253462,6765120.598704982,3306226.6351062576,1852185.4072998047,74352.80487725139,6844001.796846111,5732383.333344194 
43,70762.76175759056,82630.23182122347,89368.54271098164,5662518.379647075,2740399.672729309,1709363.6787353517,78501.12819774989,5737215.653426745,4840148.624316982 
44,71109.32792894768,69552.24240531606,74384.8128852687,3611056.3018532717,1834997.9043895304,1289049.7960670472,68005.89215149822,3710662.64913595,3166642.9064376266 
45,72140.97999803947,101050.33506442275,103276.33479457432,3554220.0343754203,1630722.5707550086,1263039.9290027618,86233.53636081182,3641555.590754679,3129265.772731297 
46,61918.46341219815,111443.07065435912,109850.46401866691,3770695.1162575404,1805502.290846283,1379592.7857421874,97750.22905838936,3852150.2740473957,3305799.4875781615 
47,54281.75511215672,48928.29205952419,52713.70961837574,3155723.907290903,1574483.993124652,1259129.2995178222,45904.08323972672,3245379.171278308,2793707.3957223785 
48,47375.67989464962,56584.9291473654,57201.511802877816,2830320.820080006,1367860.1857713282,1163634.030656624,48562.88303429857,2925930.1658809404,2532579.291927474 
49,47405.94094016335,45474.37295265185,51905.40847078814,2682470.1702523166,1284291.0651829033,1115005.4704508872,47117.51693418119,2778131.9149544095,2414042.8538084365 
50,43809.48319868608,44058.32899738269,46609.95672613879,2754049.136651434,1221785.045959364,1148524.620179224,41105.77475352511,2847107.197683347,2474370.849817923 
51,42195.570373535156,41317.42313162693,42816.84490502067,1893494.0271549544,819371.4056971878,920500.9642305374,35353.93980179653,1996859.006907014,1776874.4849514607 
52,40708.47230391069,36334.18646030314,39684.63939883891,1990506.951661483,816868.335186504,904556.8197021723,35931.886778896675,2090381.506956242,1850025.3034719422 
53,43790.244801839195,34327.069026200305,37500.17611260795,1729259.0937486745,652849.9540462733,794659.034578123,33577.550921165384,1827685.998725164,1637083.3862657733 
54,32826.320694432114,31022.650971177136,31919.266051228675,1437507.9077925459,510636.02167784236,748375.066414988,29376.84691677913,1536751.1125144751,1399865.986326752 
55,31222.96581846295,31596.144539274275,32592.729115409362,1418836.4304968074,473012.35830174404,728926.9232631683,27905.793689201215,1521190.0035429983,1385624.7368460067 
56,32156.710214325874,30460.774469582986,29560.069121203487,1356559.2031534389,421746.1820425022,683710.0957171954,26168.26969134994,1454255.2176866797,1331316.4155286287 
57,27810.339921893494,32188.35283120908,31571.542403965566,1361285.884028781,406217.6807069421,682366.0027258277,28581.896101561004,1460130.7311921532,1333649.0575898027 
58,28530.604414506393,34246.398494145935,36028.454670393636,1179080.4997322946,346483.20849221945,618935.2087565174,35401.78390388414,1281083.058862973,1187613.5787901655 
59,28279.99617836692,30301.407599859147,28395.11908308582,1256285.775769718,346540.14455913106,609391.7840668291,26950.72504155785,1356328.9307709814,1250720.0087733627 
60,24031.21451175574,30962.624527948185,29479.42723646884,1350393.7464615419,368401.3194047905,649551.4039047721,27166.104669883476,1451544.9020387202,1326368.6891968313 
61,24873.26351512562,32903.88358576265,31447.563728066783,1591323.0777636238,413555.12850110006,705488.3559444665,29605.86873690486,1683308.6704466396,1515611.8941196813 
62,21647.773696437027,28694.01059961857,31837.513631843238,1126738.1033708223,276204.6041468388,563205.3178055703,31563.627304327114,1229342.3326183127,1142705.4887607356 
63,22021.37917027329,19632.616619615143,20158.962013473163,1190315.3280716543,271505.4351713151,560686.0864321887,18303.209926460124,1291732.7706813074,1193829.5331477418 
64,19372.936283458363,20879.84020215356,21813.492270108312,1169309.3234635375,256474.27318715808,551839.2322736621,21486.247577784023,1270772.1655426635,1174254.905707383 
65,18956.160551128967,20832.472750011053,23322.826400425907,1307557.284914983,265720.13433039276,546559.7801837325,22738.339515091106,1416301.3123608204,1289702.7391998982 
66,17486.560740615383,24927.251261628335,24664.370758627025,1234628.7520308194,255705.33462150843,551729.8280115857,22934.879193016513,1344187.455977901,1230545.9896489652 
67,20153.61335060813,16741.211527262505,17818.602500980927,1193439.2856220014,225891.29185708368,510110.0173750602,16776.831338555367,1303133.3713721097,1199962.6122226405 
68,15191.11047224565,15203.60125388143,14985.90778328085,1088613.5365680163,213011.3230912831,489518.2940646244,13954.977024554833,1198896.626938674,1111997.2355124052 
69,16750.571117979107,28064.731064159423,30021.739951711563,1289364.0339823032,231326.7419413752,508122.6199786622,31038.00842004586,1405642.1569416919,1279396.764400679 
70,24842.857349280155,20438.671945796246,21832.8445731983,1114796.319338537,200793.86804178674,466184.95501405525,22676.738413986564,1225607.316018917,1131234.0395521494 
71,17691.202360211,14044.754375277294,14822.825175832542,1098686.7333598183,186522.82024674118,425080.80565508903,14410.415285268053,1207937.2652723098,1119905.4758178163 
72,14923.510799985943,12907.684361454358,12909.8364916746,1224820.3832937856,199520.96789995994,459859.02162885666,12095.751371315495,1341648.9175032103,1222729.8234962947 
73,12955.050323948715,11916.476843344048,11913.491099135123,1390854.426049441,225592.99966247563,487880.210091037,11284.67191869095,1508164.1297974696,1357265.3975417828 
74,11760.323963743267,27737.49385236452,29382.451727583175,1185955.959604059,189578.89116146977,423331.87423981726,30087.02444716692,1303571.8845199498,1192628.326389008 
75,14365.97354773319,18021.69257741944,15668.253703863049,855687.2110820621,172756.0620166205,366342.75524106703,17679.556198309547,964283.7853985709,918349.6524853195 
76,12975.50276553992,13827.307624922858,13456.208314113319,1176080.7225381464,176992.73013335615,421658.68094984663,13210.45276496671,1288395.079479679,1179238.6414196282 
77,13499.474456093529,28842.435922599296,27508.77443016569,1131279.2067913176,178004.43056350946,429936.388893576,27045.505825230666,1249194.989781365,1145108.1829522417 
78,14743.189811706543,20409.10935894653,22632.581066087718,1145202.3381482987,176269.78089380712,402870.5474369079,22800.636434592307,1265639.624880222,1156699.1184051558 
79,17451.579371365635,49310.77321834696,51591.7486881117,1216945.399695181,187131.65380224065,413438.1763851106,53011.102949819055,1339139.7914670662,1219119.5932533385 
