Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,10893597.966974432,3351346.2002199567,2957936.1105519403,2941164.8417618936,8115681.682812929,3373747.49765625,3162181.911393314,3617102.35892407,3373077.372385779,3378657.956021452 
1,2331015.009469697,2056267.0363699892,1907077.3894613332,2070549.7512480146,4118322.3829779266,113076.79588678331,1918079.4967727012,3585347.9330009995,3177839.622395432,3251319.903810954 
2,1952118.4614701704,1593262.3283898402,1548414.1110561623,1671965.163641891,4159387.4699604986,226699.67925491332,1614314.839219743,3158139.184203637,2741624.7291966216,2804486.642523223 
3,1696185.5542732007,1555534.7643857067,1549975.7564620855,1665828.5524411143,3738900.47154907,270649.60162353516,1615283.3875672312,3053963.500782919,2698557.2926920224,2755319.145888406 
4,1690781.181936553,1615871.0044848507,1598486.9316697752,1685637.6107863009,3147341.8309059488,349119.7315979004,1656892.9996728925,2992712.4176373817,2657797.23142116,2698081.7044308856 
5,1679223.0187618372,1359775.0037414762,1453366.2147564508,1515214.3180922077,3403998.81642313,436448.9537719727,1520722.596170026,2780803.9935842394,2447716.0927158473,2506611.9059161334 
6,1546149.6426669033,1408202.7105293141,1439858.678711103,1489435.250155562,3007920.5155980126,328297.19977416995,1442122.9261615544,2920472.8418095587,2510717.842447333,2506906.208792485 
7,1555640.1640920928,1477361.9780695995,1435367.0129998724,1492925.3337620317,2477215.3653805214,261697.91959228515,1449168.822393319,2926520.555829239,2502843.3680711985,2494757.399005287 
8,1552209.8129734849,1450493.6909876473,1431325.7784526283,1501883.4673356682,2790031.9382634535,493306.42875976564,1468794.2399278656,2855154.537637529,2464076.49967802,2446270.3797019124 
9,1502705.4620916194,1749910.0530398453,1660479.423588766,1732063.4903031595,2442125.819222306,482521.1954345703,1665055.21702499,3137413.8592098476,2730054.781379795,2693509.0635026637 
10,1420341.1561908145,1754152.0044051714,1703647.9346522721,1796156.899976668,2373870.7181438683,583203.7369628906,1672907.7472270555,3209683.2762334705,2817970.579479153,2773888.5794302463 
11,1439502.34301018,1295106.6613901523,1382515.9992345837,1432428.9290412976,2770685.3354646014,559987.5198242187,1417177.5547105432,2566218.776988247,2245185.3348719366,2249791.235679877 
12,1400420.300662879,1338207.297886452,1377155.908406708,1427288.9622868658,1988346.5149179087,318852.06197509763,1353441.8899994001,2600996.324183757,2288432.3518461045,2278331.776606657 
13,1363423.0794270833,1133622.6292272045,1240046.9644816583,1279994.370352976,2464030.66983421,564244.6795410156,1279136.939798177,2324091.4042320014,2041912.0734920024,2040061.8201487274 
14,1272570.5721768467,1443092.5539569855,1625661.6721395387,1657962.0608437597,3020965.738363409,621290.182421875,1731064.5532421744,2641448.303847325,2377352.7147744247,2429442.3029820574 
15,1473566.3655598958,1248732.9101095274,1364704.8531494702,1386382.394949754,2709104.4056949466,658249.4120117187,1422366.6367676258,2485020.9888870716,2189572.127322937,2243435.0870525865 
16,1246599.8475970645,1039957.5431524515,1126446.4994049966,1182348.8712571592,2068416.4654925459,486376.76274414064,1164581.499511832,2140287.915211478,1887566.303528399,1890052.3755669952 
17,1206488.2649739583,1045739.3617323645,1167650.5231805907,1206287.5832040429,2136650.8929161914,403869.9087890625,1215931.5371762111,2055322.6789783477,1834444.910099426,1821309.541287554 
18,1365797.157611269,1139234.2698177416,1266545.4822834465,1348038.7553307773,2176765.582703455,512845.59541015624,1363620.733331561,2083155.357556481,1898456.7336932956,1935857.5190298795 
19,1181494.04296875,981348.1635244422,1043052.6643817425,1065317.6899435646,2065390.3482330076,590625.2812988281,1037807.8027964904,2084259.1226365652,1785584.5555891006,1768077.221633756 
20,1088597.8560014204,1019380.3681892819,1126659.130462322,1148468.2856087103,2277579.9403488874,711944.8600097656,1157178.025250141,1883529.3326509,1667217.451978588,1678437.1540958004 
21,1146407.1732954546,930711.032114004,963914.1670716876,1006551.4908180833,1697401.251612687,397500.26025390625,995479.4013234914,1835028.581137389,1590769.575097281,1551895.699078156 
22,951542.0143821023,780146.8673912017,889926.2257658972,915688.2363439865,1688602.3640290352,400935.4607177734,893713.1458750446,1479495.861844015,1322902.4917101832,1311958.7407610654 
23,918852.44177616,767041.8448795016,833716.8667194976,854265.0545079053,1965715.402064699,603002.1056152344,869088.1437294312,1449816.5071015877,1269562.6860266745,1279788.9429646016 
24,785376.787405303,696652.6766957608,737160.4358356661,759304.0129288966,1603745.530391126,536732.5886230469,740187.963684535,1251411.00215486,1070596.2321916923,1056321.3634708836 
25,753036.7834842566,665560.9206459721,705205.3588794875,721638.8684346282,1666878.225538683,512161.451171875,714275.8989760445,1084615.3547657325,949578.6961191375,910702.5612312483 
26,636605.2911931818,823749.1837978264,909989.4846260978,931000.231510067,2013441.4662423097,670153.4627441406,933364.1499806314,982618.8037063964,956852.9167104401,1009707.5956607058 
27,532330.6355794271,360876.2283182111,395590.35052211914,407455.23274121655,1832175.6721468985,657083.5786132812,380060.80910397565,596125.7953497269,538439.4326477135,523279.66448806523 
28,482612.95036547113,713387.391284186,668208.2183078079,691681.7390908003,1786683.7981680804,631931.1404296875,629007.9803046256,1000609.8204329781,872487.2410947264,814806.8220185615 
29,398677.50114672113,573559.9453664231,594963.3245310584,656580.736213126,2236870.636297119,657140.236328125,622164.0092238552,463481.6197937794,505362.4875457965,489322.9885404261 
30,309571.49787671637,283084.99346887984,269714.9686611132,269451.87426119,2114872.964557932,621452.2654296875,247505.37757939176,505158.33800773846,410152.8010867238,390652.0578300662 
31,190006.91445090555,760352.1679417914,749946.4808679906,748332.441590026,1820428.4806861342,639115.6086914062,760952.2499150783,843113.6812606307,796367.0674013704,783580.549746959 
32,231247.58846398556,304742.41361221817,284889.6063986638,301400.1992748135,1806522.028261121,653398.9782714844,284839.5002737827,365249.97466039954,318031.3015346743,289013.3183461139 
33,147320.7071015329,216741.1960288545,217169.68095583055,228325.26698945224,2321064.399633437,667218.4631835937,222731.75896438494,228879.08708035277,229352.23410147132,248172.07356377988 
34,109468.04892800072,76180.0747737661,84935.26146726578,87576.29708499387,2248044.6620970606,672052.8073242188,84139.61233894544,106339.0814653039,99131.53578826803,89468.09458985254 
35,253336.55719179095,157312.82541598546,188669.7511893281,174477.32684317307,3644275.4448890397,1127691.2035644532,173595.6003917344,231101.35397477596,204231.01825095637,191341.08823924063 
36,124974.21001087535,102457.18525340593,112772.04112998767,122116.4868325755,2434818.1659866865,812609.4493164063,113715.29370607063,139905.34068552553,134168.97710964532,130708.51788193658 
37,100611.1488573479,86482.71077571415,85508.99310991913,99008.98775566932,2097626.8955966895,745179.465234375,85629.90353666413,112625.1264492318,102962.39661952555,83795.06126076895 
38,63260.192038796165,73830.36545454359,78617.61916895396,76272.86762173101,2574892.8259772025,890983.4232421875,77952.01306051556,93882.03206479865,76632.38936253208,66173.51516461148 
39,77971.25669537169,148839.2712054834,152058.99960970244,157871.82339281292,2708150.1004741965,938597.387109375,155467.96609087364,163898.41822547017,153546.97286981362,152118.9837326832 
40,87834.80476610588,89736.39791436844,101505.13336356646,95281.47031819391,2485924.89061954,904972.7829101563,101208.39433635026,105208.86369984825,97577.9547382882,101629.39423445538 
41,62225.630789092094,58356.42174676909,53829.24545282151,58154.049069456945,2495431.7188047227,791110.0061523437,52902.004166269486,76137.44467162415,68386.43450244683,58601.997141564636 
42,87168.0947043679,70418.18590366012,75323.78723525752,70370.196567709,2992099.8567947834,911409.6123046875,69695.67615157533,91326.37000886053,80077.53804089208,71329.7980879657 
43,131266.1269679214,72904.40927774977,76634.02368632538,78690.14425198156,3060725.8332873373,894107.7399414063,76715.97804631088,102484.83597358913,97360.16371152698,90437.3922545597 
44,46073.961408210525,41021.7577194706,46738.19070047947,47109.859179847685,2874126.2371018887,678941.5600341797,45071.66102843359,54100.00094553456,50072.378559751436,43193.58604268469 
45,38479.281801165955,47858.20372791407,52375.50132571327,56248.385288456084,3137040.8728762865,832459.7032714844,53988.40233141855,49062.94766312656,47585.8375091698,40412.00223253667 
46,79945.57656952829,52355.69637969364,59340.19147901092,57405.38807165362,3277719.750504243,1035689.9407714844,56003.44456049297,55165.83813532069,57395.09640649576,43092.2897211723 
47,176979.85321969696,59438.62854106833,66498.39615597499,66103.93572977818,3493176.3184503913,767250.8266357422,63345.07143107485,67142.0323809646,68231.77020369694,58076.92672610376 
48,55688.82016268643,76794.57688018431,83119.88222694423,72926.3573049672,3339566.28204186,971598.8541015625,69622.72843323713,104003.26953992844,89111.61804252044,79939.49907724113 
49,37493.59750458688,81333.91715680642,79242.12683657162,83918.7997443581,3193432.186959009,822766.7439697266,82958.1477490874,61423.5355390314,64249.73369061314,65874.95097791702 
