Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,20388957.273910984,7628833.287849526,6711417.014445622,7057543.087255669,26805963.474719238,11815408.384765625,7178487.129722786,6853547.005071974,7072599.510136652,6231261.271089983 
1,6065672.342566288,5159056.785981742,4545497.254271507,4656157.899239158,14470811.748854065,7797108.06953125,4888743.851458001,4650977.5049613,4668661.057670474,4270559.052593517 
2,3768506.513375947,3111735.809103969,2804511.5420954227,2802073.7957609175,5507434.466938758,2080789.1631835937,2972230.448005438,3453947.21330519,3218291.098469385,3208355.2236983688 
3,2498332.3774857954,2250370.3639233583,2156992.0772804297,2202248.428957048,4724012.8825656,560825.2036376953,2254259.679446989,3313152.8212067247,2983388.852534235,3041265.622348964 
4,1963582.411517519,1798456.6553615993,1684539.332212866,1793538.867797637,3836152.9147861903,54973.84271127861,1762121.8076049662,3164506.0193956797,2768819.0516922115,2851898.489843893 
5,1752139.9636008523,1574739.0119273597,1549034.2386779885,1674068.5842532944,4271590.9936079895,20656.627239465342,1613604.2806963504,3024368.6928904746,2678644.1040871986,2731680.4052544157 
6,1674413.5579427083,1492894.5025028512,1536682.8369836344,1658448.9104658135,4382026.3229494,18662.792099999544,1592085.4866617026,2905779.3746222495,2614443.9421373033,2645125.8828547476 
7,1636881.825580019,1461074.917120537,1511565.9725350672,1603297.213460362,4238813.560812456,17029.896532662817,1548387.8150998354,2873192.8902183715,2560950.88827008,2594890.409249687 
8,1575622.9344223484,1392663.013439311,1464100.8689210357,1561556.8039508343,4045795.1555869556,18087.266780395443,1507336.7296872556,2770362.445822197,2490507.7734265565,2520940.7320073484 
9,1579297.4135890151,1395882.0228313643,1423426.8310931928,1506759.683811715,3715209.588284576,14881.497013351787,1452528.8184628296,2775060.352221203,2451777.905974829,2482729.1555670025 
10,1530129.7341086648,1333002.7562530735,1398835.5289572221,1478199.6398532032,3521086.9652868356,19713.596585663265,1428235.7890406928,2660679.2700229287,2386528.6934557795,2420426.618299831 
11,1480498.6172762783,1306450.5104810349,1396583.0623105136,1461164.2463062764,3538393.956994691,15855.045871398364,1411904.459368541,2585445.384534979,2318172.1395717505,2345653.749253607 
12,1433488.4025804924,1366779.4275896242,1417723.1653123728,1487078.0821009665,2921423.0351271946,23772.76160311727,1414690.8955966725,2617019.139415555,2359570.340041137,2386596.635161531 
13,1425432.4544270833,1411033.704531418,1418573.4592477349,1497864.6328683011,2771800.0112185325,25901.149271612023,1417745.306087449,2675675.705803114,2399710.4030055627,2408580.9742734344 
