Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,20362833.629261363,4919716.673727712,4495144.661505964,4529929.211628032,14505970.897924805,9161601.600390624,4831058.374855793,4922216.151341629,4821792.222544146,4570393.925357604 
1,4057237.6923532197,4150882.549296657,3687374.8249235153,3604549.551636076,6852674.289126778,4594304.2875,3811085.456776741,3904346.8413550616,3811387.9262413024,3568856.394597852 
2,3706888.8139204546,3965547.695547959,3593274.219732457,3459148.9715544875,4911402.645258832,3331739.4865234373,3635416.5343948365,3684868.522372627,3630887.229776934,3394742.183899498 
3,3515566.320430871,3789455.352737281,3438751.7422138983,3311347.1326797395,3612758.9449884947,2378987.9614746096,3471755.1370739937,3478738.21942997,3438186.9577903966,3205221.538057232 
4,3393915.1189630684,3638802.765602695,3298361.076002995,3201145.098221326,3021467.3774743276,1850885.1388183595,3354537.436718655,3323044.862838936,3280915.5746945143,3052571.15945949 
5,3313626.260653409,3495170.008003665,3239458.172721492,3130904.11886839,2776414.226567525,1566704.8922032355,3270403.716056082,3208892.531212566,3180778.919826436,2960093.5411041738 
6,3220939.8792613638,3377417.171852976,3125603.481840107,3036302.558469236,2465039.0073921853,1249280.8403777534,3167137.0809135824,3097008.802098119,3057859.899443698,2833554.7744337297 
7,3116976.6453598486,3258446.8957351907,3069610.888658153,2975683.2808528664,2383046.0193418846,1107435.370449996,3085538.294394482,3011121.124045176,2976953.700317979,2749494.681169242 
8,3052768.581321023,3218348.2691885736,2931159.4636879363,2898866.7590432884,2042149.1255575716,826531.7303298212,3004465.9951402848,2936184.636717644,2879676.829304266,2638976.9218559028 
9,2988681.1464251895,3061282.1200437676,2933404.1012240117,2852514.521800953,2223741.872820592,829145.3620648152,2936023.9852446676,2874934.820199716,2840631.486846185,2604154.5186670544 
10,2892723.3043323862,2959306.829514424,2769970.770275567,2735563.1544159204,2062872.5798828944,701232.4785730236,2833349.535277903,2762147.3329612166,2702920.1517167175,2473531.4742316073 
11,2856156.0487689395,2899131.499745581,2675559.366583942,2678570.81739614,1969865.2502294718,594057.7231768569,2767582.9550621216,2700999.1893828334,2629753.1945776786,2395629.141382248 
12,2752373.505563447,2757164.2285914053,2602648.793011109,2574462.324784763,1995150.2120573379,555363.5742217392,2656414.877774395,2595702.8187004775,2536033.093114215,2319882.282419124 
13,2638794.4868607954,2652900.18360228,2515962.049651808,2490912.3354376024,1987391.5154147863,487769.23014110775,2559848.2138836966,2522282.6740445495,2459031.628619218,2250983.2380551486 
14,2538998.1622869316,2508764.1308880383,2387318.9667805037,2385026.514139679,1992299.1742097735,423696.03816227446,2441352.6294416846,2403919.4778909264,2336308.5043284814,2141939.703644979 
15,2405891.3544625947,2388330.745542715,2307091.6927777063,2279281.1078886776,1981609.2954461942,366812.9695816271,2317769.2115211706,2290680.581227732,2236813.247260034,2064234.638652101 
16,2261886.835641572,2259822.302856737,2078336.5413517158,2091829.7916770696,1834771.6908758676,269806.9965528354,2127192.3639996676,2113543.3867897824,2057057.7403682054,1874954.4230379045 
17,2059328.5896070076,1954431.794255813,1894383.535610156,1877717.1946038723,1856805.5193239183,231586.70695587696,1895226.985132122,1843794.996159938,1814765.9642240764,1683928.4691016665 
18,1814031.0990767046,1764797.9097560013,1765528.3694719805,1737920.5168177187,1867569.7652341013,175243.1589012336,1720933.4682662785,1701499.6071464329,1684832.97327074,1573811.0103227405 
19,1515613.877544981,1421288.5598385865,1450503.4412233564,1441950.545705986,1805590.8340954662,136985.8562499082,1407859.9827050925,1396669.5709249945,1383460.2762772231,1307854.6840026933 
20,1139529.2251124526,943044.5351984832,931651.5736116535,937819.885141635,1630762.5375448184,152620.4657133162,883114.7466365456,908727.8981818616,886189.6309583068,832750.1873168141 
21,743299.8472271543,556090.0685928663,491957.54870663746,536431.8318502873,1515936.718365656,212810.61816628277,505549.6913831845,534782.8262291655,495595.4329105139,453525.0132381545 
22,472284.57438151044,521888.53933882964,437158.80592025653,456747.13237287814,1483401.0137201608,270615.2037089333,460445.24590653274,494307.60666186153,451243.2501010524,416099.39116780914 
23,291844.20295484137,260574.4980490009,230680.83787119554,224501.398782555,1512866.2682852088,297235.8210364819,229296.96489198133,244416.53679285423,220179.7083191486,212627.50306455494 
24,186365.32454057175,154519.95635452867,146152.68419986137,145776.85032000096,1563749.8606059046,303997.3100208902,138998.49705457108,152296.99408674016,141182.88289331348,147023.76520541907 
25,140547.1122048118,117634.90442158944,113024.62777456807,104634.41601295173,1571988.4904004785,324009.94801995665,105375.6141049385,114159.00148375407,106219.9038630154,106477.5608819643 
26,113694.04398600261,97034.76645861815,92402.27120163063,86496.77854247855,1602456.6985973807,338111.2545868218,86608.32174730077,95167.32632851825,88370.74119707123,88345.33692155853 
27,91419.73599520596,84140.78496887948,80583.99721278601,77568.68329994827,1619001.5270260505,345849.04375671875,76942.57876378298,83055.49195231273,78539.18149190248,79314.26913171486 
28,72884.43864764589,70039.39963036549,60723.27433000008,58355.33750940375,1627952.4559790133,344172.4370808095,60356.16789455824,69261.46286607682,63333.45743573275,57042.35736727305 
29,65274.699887362396,60015.394679907506,56733.01364621354,51354.40031749904,1628385.8410296678,327370.78653736116,54466.7950791182,59138.85867261365,57660.96294243187,50074.81745917201 
30,55036.75070097952,63768.10151709947,62082.32482825137,64053.645907109974,1641914.2876081706,311422.86647918075,61567.77282629404,64383.01087724827,64189.57016236279,64906.86455785632 
31,53289.090266372215,68633.1073581891,58514.85773414001,55323.36913034543,1618221.980942422,314629.55629324913,60337.05731692687,66670.84784838781,60113.91790917832,52031.48164329622 
32,41106.095678156074,40712.67155208853,35705.58205032804,33227.92460772544,1605947.641593337,284401.0796712074,35510.1067636678,40435.656937059204,38852.910075932414,31194.29700884968 
33,34681.686886874115,34776.76646085022,32061.791637438866,33197.100798030195,1605564.0152703952,264012.56751013995,32232.43645851016,35130.683554658295,34169.5646353215,31829.686124556698 
