Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,20231414.33475379,4601915.427040948,4357507.310172691,4586446.91450173,12504874.72421875,8619848.79921875,4527390.936237866,4773079.365595674,4666013.862465357 
1,4095271.9904119316,3897990.627523304,3712409.8445017273,3976375.3667493104,5999289.0302734375,4805712.732226563,3924403.942923292,3959299.847025755,3874601.1988215325 
2,3680695.41015625,3770025.1469372055,3578578.0774355466,3777045.506093168,2707085.7310546874,2703141.6646484374,3785334.0102020293,3673850.988225153,3579038.714670527 
3,3515728.311434659,3518538.845959279,3354669.6934422385,3557366.1805953025,1953638.847377014,2145572.066699219,3516541.8235763377,3449046.0849095583,3388842.412731445 
4,3337609.981652462,3327135.3643814223,3203726.7695402037,3370488.6515004635,1556098.0982473851,1774613.9012573243,3284511.165844655,3282892.822498226,3237277.0921716928 
5,3201664.7017045454,3177024.8167012595,3107940.393146006,3246940.547884163,1305495.848379294,1485560.659778595,3119170.918618515,3185589.7634014157,3138838.7054364206 
6,3076229.5454545454,3156582.0724720955,3054167.469140119,3132935.4315309525,689703.5133816686,945151.173531689,3048052.191457624,3082263.24238466,3006697.0534892557 
7,2969882.303503788,3034580.3127419157,2958776.2214108044,3023763.871542168,594619.2541690764,792993.4568279381,2918195.306385598,2986463.0781241474,2905823.3048034906 
8,2918050.155362216,2854417.77309169,2866489.684832255,2950219.551442325,657092.8662167154,837678.1398138121,2809374.6146308,2915100.725561738,2863626.5594137786 
9,2795487.180397727,2740940.408435186,2761222.9218152273,2819786.2635856573,586944.069561448,704518.0861927539,2678994.8305286886,2807479.5509730843,2740662.665239334 
10,2690888.9204545454,2674293.9879566035,2719706.3782219654,2776627.0998738105,548413.9071454472,641678.872721708,2628507.5608825088,2767209.2600610824,2708082.6560528516 
11,2647565.163352273,2599156.3070233,2578297.7799267974,2638407.7835703795,427656.9377035454,478904.6481668741,2521280.59303338,2635379.023057347,2556178.480331707 
12,2536712.375710227,2561713.527834144,2632912.8037261106,2688115.376461327,496898.84574107296,533332.0758898736,2525726.958620121,2674043.243746519,2618700.7090748968 
13,2447929.88429214,2401589.2472422165,2373573.589683228,2401913.049103117,360727.1484481994,333710.7986173109,2279621.5608217167,2412240.8646844504,2319269.782813925 
14,2297877.34227036,2243757.729588747,2219966.4067882234,2249526.292916274,354169.3727286998,279467.9143580676,2142434.5280558304,2251509.0202728244,2176360.454751456 
15,2149128.116122159,2055710.9861110183,2059380.7388101097,2076414.58691988,339663.94660089316,203064.41173342988,1965609.1536447378,2079414.0623684644,2015223.233914566 
16,1950617.8193063447,1804296.9049160127,1854428.144354267,1870072.3708078146,307254.60963162966,158346.77810559646,1741199.8839716434,1864708.541496232,1808778.6102478683 
17,1747204.258404356,1556565.539948662,1581499.4553204973,1590036.9133025892,277946.59619740734,117184.51106233448,1484144.9054181962,1577197.6658954131,1527505.3527339487 
18,1444216.864938447,1244522.6839071843,1274226.103867001,1255842.7898324311,267757.5267938051,118496.83119698781,1165645.6067829616,1237899.4844887615,1200015.3268813582 
19,1141295.6010298296,924002.7188901504,974800.5220206247,956955.1231042922,251744.0229703226,126446.63688824177,881864.0597432047,937832.2874881625,917696.1955217719 
20,785249.921579072,661377.4712231954,654562.5911349761,649183.9135201812,279277.2286171324,173043.9065521538,591649.9762598515,632340.9447799273,598088.7545357645 
21,548074.774724787,676173.7855297046,623785.5244811081,637267.3388148748,387430.761048533,213524.52105632873,604038.610132692,622175.7085607693,578498.2072162667 
22,346255.71547999524,272297.8295274253,277175.14221015904,265437.5626201555,316694.94943670795,237261.98560307026,238616.11408745722,255895.50830473116,232853.43253901228 
23,232658.63712195194,184097.78692458817,186888.3101258237,181837.1650365539,301819.73152465373,251467.91984242748,156124.72020160407,177526.38287474663,157207.2665062856 
24,166355.93095259232,153565.38301364746,152133.77394797342,158999.9259172106,300202.7875695173,263803.60864957573,130838.32082999576,151505.18003678918,132761.41826860196 
25,124885.45375014796,119508.08283761604,109787.81090290203,119639.66338941753,304043.1085400485,267548.4670158114,97722.83688551262,112839.17871860506,100569.85067720714 
26,105597.33701763731,86946.73514693769,80690.14478236603,85184.87719037717,283582.3332575867,257893.68253388404,71864.79926505256,81912.41606880071,71949.40672080236 
27,88996.90408417673,72325.76858615669,67731.92758568625,72961.51729165987,258945.34535690545,246125.88760438628,58310.0226661073,70449.14253593198,62510.81951194871 
28,64283.67753462358,55984.60394779924,53891.59844081021,56071.46280643288,236590.31734968757,231429.38361023663,44523.50846920461,57230.671862172334,49913.89557097722 
29,54187.65679561731,63054.98163392643,56355.29953093537,62272.32832816914,234162.45243949222,224541.87821005308,50732.94400762394,59466.360361073355,54411.817920451984 
30,43022.36947724313,40249.52418981249,39245.27865224668,39662.98203253224,228278.61857466478,217267.41634237542,32186.695552985228,42144.281462727675,37190.805319619176 
31,37568.05468472568,33809.24501415694,31805.706047564745,32113.09414541442,204570.20853994542,203755.17170391785,27151.92865390256,34485.532556189224,31228.568108550833 
32,30398.56877182469,33427.356649935246,29464.72486705333,29954.54477737248,187051.8042466147,192990.46029791012,28370.23490121141,32875.85293416828,31809.351166022756 
33,28956.767712217388,24177.73786349843,21577.864495319624,23132.38112012241,189130.39476186706,191189.23236288477,19332.721309573204,24349.075718701257,21964.91444951598 
34,24341.231120716442,22462.17430154648,19719.110779823735,21694.17059816555,187821.21324947287,188519.22088955046,18105.147279250807,22328.540779124385,20476.907494604075 
35,20495.5659346147,44527.67760328369,42959.043122396906,40814.886289679445,176073.24413955005,182263.35054210425,40089.473308312896,42184.21321957577,41857.56994244419 
36,21274.043666955196,23257.441873259842,20771.041476754886,20431.979791089707,177442.40866183536,181494.20818972998,20680.675895465352,22215.52840108578,22360.64417481348 
37,16858.930379694157,18740.806706287796,16645.782780943853,17175.665859018267,158423.62367454078,172399.15949121004,15608.95984216258,19158.688830007985,18790.168070875854 
38,17241.423577973335,14475.231272240324,12957.55099876701,13646.31768320445,164597.7071819749,173560.35721336099,11677.83962087892,14533.1804227198,13850.367408945598 
39,16094.235137014679,17598.595723452876,15993.359956997136,16750.647574772498,152134.25553930036,165775.3876581179,13836.98448940292,17158.575619082527,16726.13364745099 
40,15585.899208531235,13972.881195872607,13668.219488769355,13418.187660674006,142706.39414928854,158916.59985014127,11125.064846453815,14409.748452650198,12794.064020171203 
41,13406.371839118727,15390.912604644274,13617.887602676534,14271.145827837288,144525.54397379723,157229.27192752884,13180.340735300259,14454.606348843128,14196.2573513031 
42,12367.416526332046,18004.116975570356,17040.463309821156,16354.316940923407,141372.40234250278,154779.07088487,16017.211297110654,16814.00547174057,17279.62148829922 
43,11243.733937812574,14848.256517650145,13799.476319021442,13185.543919051812,138471.04439233243,151728.0874168275,13374.682922877604,13948.707573360578,14618.743412148393 
44,10645.667578957298,9121.722675729336,8598.421322328555,8795.735035828688,137731.29363225392,148301.77003182322,7102.4943139314655,9186.30488959942,8980.90461878702 
45,9953.349460255016,17672.967468603412,17478.084705572368,17289.233919186332,142002.0790876774,148565.62086070477,15642.562073077448,18073.63102908623,16884.37542056404 
46,9611.064182628284,10638.380452453262,10561.14367569652,10391.71592071876,130219.225573151,140909.8619463548,8333.279128797725,11192.324120214955,10530.46502499245 
