Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,19986460.617897727,6641583.989862654,6349803.058934957,6628094.976268646,25065507.14921875,13823264.818359375,6857062.993030614,6990271.63596859,6940596.408395672 
1,5875473.443418561,4574343.145786193,4436810.879542138,4454653.7855252065,12245333.71640625,8936354.8078125,4604630.006226761,4647326.239189175,4583671.37507391 
2,3949582.984138258,3452548.8842456075,3529104.1185673345,3307656.3078836217,3466698.936352539,2923484.308984375,3334346.030746228,3524434.4779532314,3294915.84921242 
3,3130984.4578598486,2972110.0712395837,2971366.7134325537,2893168.521458312,3139067.91885705,1408315.853564453,2618905.9903601287,3407507.384624171,3105629.8343792018 
4,2723658.1232244316,2789386.610853639,2879352.2895463924,2691743.5291704275,1224681.4389023066,198964.62177677863,2389392.948317185,3258581.838116008,2892053.2897995235 
5,2449489.4975142046,2399106.8814757867,2454935.4110891554,2301385.258610665,1125856.4332004548,86528.11013377384,1782260.6788718284,2951381.5015960694,2603649.8025455833 
6,2225993.1507457388,2198698.0706247627,2308294.0165404743,2183427.1932415655,1741564.1221498756,74033.1571721904,1653194.9062386604,2936621.202160978,2555234.837357834 
7,2129486.3458806816,2207957.196219338,2297306.811330226,2153506.062611949,1057303.5493849588,169721.05802449174,1557163.0469498038,2923194.510543931,2566387.2432023077 
8,2002865.4518821023,2029487.8058555457,2116094.0224388517,1988955.0809973052,1091952.6518805719,207204.01283230894,1404848.880145624,2688702.906034399,2359473.1537278653 
9,1921726.1859315815,1966089.9112423733,2020753.1389403772,1924164.4816693275,1142513.6183115006,233149.2037007332,1427357.7826551325,2539006.548558554,2241129.9916250706 
10,1834573.798532197,1908049.895324591,2072010.2315837278,1932583.526856028,917720.3517579496,301971.7261627197,1412364.2307670116,2611745.6779419393,2294417.972064355 
11,1777918.9319957385,1908280.361840288,2090026.7897266098,1936834.8261252807,724057.7290428117,367003.0649169922,1401760.0725615502,2643280.069902754,2334691.187943713 
12,1688535.632694129,1653670.166935934,1754134.7192516963,1659658.264406555,1011080.6824845949,276848.1715019226,1243186.1432606196,2251938.962391041,1978937.282245966 
13,1616564.4960345645,1638684.4934379244,1742133.251938873,1632085.894779403,550900.7298144653,412481.650088501,1209265.9385754943,2234499.9424479725,1983205.211180082 
14,1551793.2705965908,1491575.7168410819,1596020.7028197977,1495825.2484535659,699174.7972942262,384893.759487915,1131669.9588721276,2047770.3637887477,1816197.653022033 
15,1484788.0452473958,1417273.2346052777,1543080.2107450697,1434755.7090804412,565669.1130699859,467994.40184326173,1095855.541439071,1947420.360120943,1736639.6135026156 
16,1400882.0970939868,1418082.578892559,1496136.9248850187,1438175.2487959983,923332.7324322648,334666.83010253904,1172381.396035046,1928686.6345686289,1709515.163857627 
17,1294143.9763849431,1268563.2623197667,1387175.9835917288,1277611.077010651,435609.795619758,521255.1682983398,981477.0170322924,1772699.8757528781,1580285.1894670634 
