Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,20681791.71993371,7080661.545143313,7116129.391989708,7150883.019406414,24358190.951953124,12804441.40625,7203702.99705005,7019682.38832891,7066808.852889893 
1,5595989.476799242,4649398.387208634,4476532.3990099635,4623665.191908503,12576032.28203125,11106175.46171875,5281390.480208714,4730873.77294737,4823558.067211784 
2,3869316.983309659,3553289.2671155464,3347391.3096654215,3528685.528668642,4778459.606835937,7547242.09609375,4847335.044705391,3559801.3795611085,3738939.957603949 
3,3373345.632102273,3341861.4515257278,3175245.4806138147,3324697.175566369,2637344.703684294,5937287.7125,4515437.033831263,3352791.5903828978,3427907.305154371 
4,3199611.4583333335,3236773.08797582,3032839.659223199,3159612.270351404,1584931.234160614,4524904.238085938,4377206.605051184,3131037.112163675,3212943.27509017 
5,3064189.979876894,3090746.356723057,2912348.8171116025,3032320.1943823816,1155244.9703066337,4064039.127978516,4355110.399837847,2992576.7909413637,3112851.219655955 
6,2960936.7365056816,2999017.0133230095,2838761.5788821643,2933622.840712661,852424.3241386852,3439560.323251343,4223683.247526025,2900230.5698604356,3007353.9619042873 
7,2862395.80078125,2982641.374831862,2829747.632856793,2890830.931251605,624377.2013493743,2422385.8919427902,3978245.7634390355,2858730.742870784,2903916.0881306957 
8,2801507.3774857954,2831789.595625361,2719627.3995441627,2789779.623769379,689638.0985621737,2134056.441042136,3865061.4079795713,2766302.8082175255,2823615.584577012 
9,2702681.454190341,2770971.024517239,2690012.2901984453,2757185.8245482463,784913.3596726826,2052362.7009234964,4025639.800461831,2730341.3819635324,2874828.729531765 
10,2680411.289654356,2780464.087165011,2645709.709597913,2703619.5101345717,760984.591447363,1342479.3819742533,3654850.580910182,2645858.1834102976,2714587.6756716967 
11,2578204.78367661,2836211.224434808,2693918.2906917995,2735300.643634987,791283.3560585387,1111110.2495994396,3549720.2947216155,2674670.6277179294,2730603.970129049 
12,2546033.8808001895,2615269.9846614203,2589978.326552014,2649738.059323707,800065.0178053925,1389669.0230833883,3702996.9031092827,2654113.5991858663,2752583.5594861032 
13,2466120.7874644888,2677148.673488829,2573639.0850258106,2612475.420870665,850953.4356394559,862758.1585600367,3309677.228398657,2563861.053462411,2591644.5407638787 
14,2385840.792199337,2419504.3325753,2359316.0425292784,2429637.868897903,714572.5972200107,924176.5287689037,3391318.4485449316,2400311.4513462693,2493869.0329815336 
15,2339293.467388731,2625032.6272434364,2625444.354084515,2722132.011815128,836323.9355526209,811995.6098812901,2950699.0414339597,2789515.713968075,2668300.9293548106 
16,2269972.989169034,2219990.3782471535,2169322.835024159,2229869.8090760587,719161.3209865227,569914.9581971526,2795057.611286539,2207679.9269112214,2227976.3040697696 
17,2100633.3318536934,2118542.3973957184,2116067.1643051305,2185160.989749411,665124.2456639016,462986.9607029604,2517732.9441218376,2193650.9717603116,2155250.8726195833 
18,1991599.7514204546,1972473.1507567829,1901337.7567885667,1965808.7273438915,606041.9167815759,474095.71185002476,2546569.6641780376,1906553.290498048,1983007.4894684134 
19,1793218.8402580493,1734540.284866598,1716836.9703261256,1791615.6524896442,615377.885137403,487203.3741468947,2135400.348015459,1775054.5379184552,1779088.3000803888 
20,1581773.4049479167,1388790.6500339906,1416524.3933233188,1459482.8619323194,818829.2362179279,782050.6732313886,1719468.0296159864,1454222.4791280986,1456322.8726561936 
21,1341103.3647017046,1481917.7903100385,1552952.6361252335,1569159.9786215024,594734.1737753839,765911.5590820312,3266076.3470621346,1592272.6363783425,1844331.6192125587 
22,1019238.1332859849,1010946.7108074062,932575.2205743723,995165.5888444781,1015515.2071301806,1878535.3951171874,2024707.2318083881,937106.032051155,1159293.4943170666 
23,740157.4011600378,603306.1207479172,597945.7055819881,637804.4210963607,946508.7559434192,2309887.9543945314,2573126.2198319463,611337.4187948566,971383.1247099399 
24,543784.9564985796,636687.5652504769,567018.8022045493,623690.9051172562,1137795.1649661919,3148216.1150390627,2569436.6084166737,586114.5519847939,973288.597377018 
25,401518.80992542615,350329.9738434896,312071.4277361275,337852.23671551945,1086413.8826365916,3447594.9064453123,4753807.759908347,318627.31257784367,1130456.6001492625 
26,274959.8251805161,288422.58594690345,238673.6820976039,270106.71147134603,1161349.7233193784,3846146.3736328124,4723379.207659608,253367.28477986268,1073378.9939246804 
27,212355.97608161694,220186.36484172734,182912.2540042872,204055.2473686192,1385341.0936070024,4162222.6814453127,5249521.431561888,198528.619693875,1115368.303059104 
28,177365.971698183,167688.88897590173,153039.09191607186,167210.89370679035,1113050.5970732127,4152773.76015625,6464428.780228138,162113.1689551115,1287292.0771304993 
29,141087.2587261778,140758.57258046337,117021.22420341935,131627.40757376404,1262233.2128334164,4402849.536328125,6624674.769488764,128013.26017510462,1278174.3444125713 
30,129645.75990619081,133615.56371529898,129639.63955738333,130622.10667237788,1365254.0046122984,4576039.705078125,7524403.991131927,129608.67246180474,1456263.284819255 
31,112965.6092788234,160245.46874056756,133220.81983950196,142446.5481739046,1625230.0066699684,4818351.103125,6792412.475035596,143765.21375423967,1327784.510620793 
32,120783.46340295041,116490.65276701582,84000.76002541019,93739.18019319045,1459569.3434463143,4756268.499609375,8214066.609059869,92602.33313323352,1525636.3764188353 
33,92781.58966989229,95172.80091880675,68610.13354112145,77668.78322762287,1460014.6703614718,4758685.4546875,8479568.836905494,76277.6788828874,1544094.6265148178 
34,81893.25371944543,89400.0244221383,75620.45979002035,74998.85927600562,1463647.7220200843,4797649.868359375,9361042.760986518,76713.92056253925,1698792.9840462343 
35,76575.70634321733,78919.16964665015,66612.39686958988,66415.79485790431,1429525.5975435383,4716998.0484375,9630365.53187421,68183.10891071874,1730926.9877447456 
36,65731.62296179569,78977.62000980828,76201.29217008915,75856.84860616103,1461793.5149431587,4716695.772265625,9388807.778783798,77267.02324908078,1689560.4214550292 
37,69441.86637184837,60939.40672213667,54106.07002902445,54980.42270164508,1413284.370422101,4630985.284375,9728363.13805666,57357.401292112656,1729211.6789267177 
38,61937.33293937914,57322.89884821512,41838.60520244659,46683.47985493056,1442883.7859899611,4727888.156640625,9870283.345965551,48232.483912008254,1739681.5063627064 
39,55409.72491177646,65709.667769121,44966.8524473889,51401.335760516675,1448504.9533279685,4753196.578515625,10307314.35086155,51570.3747660527,1813981.6624866682 
40,45000.711753151634,53191.53653908873,46953.51208809763,50677.524195082675,1485270.9587308168,4696015.8796875,9804826.079382397,51445.64180020858,1722498.1805752805 
41,41932.62772993608,60594.90795457032,58384.79150497251,53612.47585666329,1384014.4573038556,4572679.5921875,11558810.988003576,54614.48545809016,2031834.7644827429 
42,57102.90642940637,40350.79215033849,36334.43712558266,36240.34558283351,1410836.9928186745,4513494.43046875,10819044.607185772,36803.524495483565,1872293.068678042 
43,35036.17925932913,44801.837381575875,36596.84194081608,35578.65559298322,1403447.6994394064,4489392.270703125,12116634.167476244,37982.5720396135,2092525.846062563 
44,35566.540897253784,53521.20058998818,35990.87129844146,41159.979502535796,1488681.979372575,4515462.25703125,11519615.611225773,40982.95903592822,1987143.5128092568 
45,35458.013129956795,35913.90426511256,25399.94914853159,27306.511234110036,1465293.3918943987,4335532.762890625,11360269.479417728,28667.759352618083,1937508.3255308312 
46,31163.100329312412,29300.97813522112,25682.87641170186,25142.4232528083,1445694.7573320582,4244318.970703125,11540438.094170952,26666.181478587725,1974576.878470966 
47,24742.829952817974,25636.430141763554,22707.119425316032,22266.45021519456,1349833.8508107662,4196828.624609375,11771437.063833809,23143.156873720138,2019750.6065288526 
48,21977.223355842358,27348.805322155564,25140.35222513498,24314.522580348887,1333027.9672482118,4139920.14921875,11931585.408787036,24360.057460905053,2044741.2269184461 
49,27164.31007385254,34121.34545926543,33802.00778591881,33359.92423544898,1167486.353619417,3928582.082421875,12355495.315913206,32747.952393290587,2116210.735175894 
50,21269.00319186124,27711.850416004036,25794.087609588893,25921.32914224211,1346834.1051682606,3984878.444921875,11825993.171976233,27396.706500506774,2015519.7986046525 
51,18096.924689321808,30639.693054410367,30343.744004866316,25854.211925346033,1138161.244503792,3798383.22734375,13594054.188298136,27222.097003527917,2313121.758754285 
52,18383.009280580463,19003.234600345135,15104.290789417302,14054.752298333497,1202964.2893916324,3779021.298046875,13287999.466718568,15377.072388312965,2234970.040405496 
53,15736.653981064304,30208.624027642938,28982.65858873042,24777.547992620617,1114492.5008376068,3661294.748046875,13935742.69498861,27000.09088679701,2355021.265965006 
54,14821.115522673635,14751.798081778818,10840.515617847857,11466.515299298242,1184168.4954415085,3688383.437890625,13216476.501873398,11672.60353203211,2226114.7764368993 
55,15198.55485973936,16323.70847133216,15689.60979293204,15234.32619657889,1141578.3723412552,3543591.941015625,13084245.290717507,15025.75128659308,2210426.235311414 
56,22389.375935178814,23485.013459444253,23167.042651101947,19366.637676260994,978453.3752272225,3405223.784765625,14204886.549039723,22468.14534799382,2397569.2151247207 
57,21814.40663771196,15541.465280363336,10250.166154662767,12132.475482601858,1039846.0796803385,3397046.733203125,13296620.635124203,12610.178814900853,2225831.6884256285 
58,20353.17056829279,12242.605533522243,11605.320112031368,9937.158722718432,1046961.9794769309,3285354.0439453125,13243765.887895016,10741.299807407708,2221086.1824020147 
59,20059.510589368416,13266.585440501778,9365.361364817867,9330.506673439964,998039.9689238761,3217944.62421875,13616081.779608577,10872.697195187397,2278218.1516476437 
60,10624.125532670454,12063.555861699291,8183.035867793693,8841.93672138066,1002484.5734709832,3199950.018359375,13631426.68581631,9983.964396540261,2277784.0063879173 
61,14709.106110081528,41584.08334376518,37185.55559836928,39434.45069948621,1008930.9263068439,3160139.999609375,12278072.472415403,40276.79666304365,2078130.1402723978 
62,10130.87007927172,17308.568011956497,16771.20369271727,12964.08141671419,922395.5890511596,3036337.8474609377,14294315.595269827,15167.144547571428,2392437.423605659 
63,14942.922649961529,29953.885355980445,22808.74781776323,27062.637467588484,1013165.4387506292,3083383.888671875,13060610.057057308,26380.544542188196,2196034.650448194 
64,15802.085570133093,27704.96950234535,19965.33150564672,22438.68789707646,964623.0936917947,3020763.1037109373,13556275.919918083,23373.598245780544,2262662.4222914116 
65,21033.849120862556,9803.71667412358,7609.674772777698,7801.962109028222,848897.6493621307,2848780.7216796875,14025173.113334697,8184.425252769142,2342262.4556127023 
66,7003.720271948612,16771.48093396446,11668.253809278624,13733.811741090007,956940.3879232705,2907415.452734375,13555013.11068905,14306.670609325916,2265931.3893385124 
