Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,196949.31119791666,41278.48732147058,39100.29250123521,41368.618636894884,73682.56220703125,51312.25633203125,42572.54277768743,41766.595458812626,41324.21530750442,24050.2094229064 
1,39282.23680160985,39672.24648055891,37465.76837922202,39239.23596148802,57422.30144921875,42163.978079101566,39733.646080939056,39346.00475978613,38647.330336494444,19559.13044418347 
2,38316.27568655303,38811.37455844602,36595.91522982518,38058.13850918496,46251.40249609375,35449.52621582031,38360.34724307937,38181.44340426016,37339.439571191855,18255.8861637702 
3,37149.51094933712,37174.44565643549,35081.429233151415,36591.54360634035,40844.56620800781,32145.217342241973,37219.49999110556,37014.405953988346,36255.568122594836,20161.44451647377 
4,36174.55356297349,36063.054244807034,34081.18098881867,35356.90137888983,34355.1089408474,28195.409556499097,36166.59687542677,35919.85251828408,35163.99116625023,20544.267046877743 
5,35320.96576112689,36838.80835568428,34825.34209150102,35329.77523264313,24793.69404615517,22074.399098141737,35866.02108031559,35864.28180896437,34727.1158919763,16912.13882921929 
6,34743.156131628784,34558.91530247569,32769.084966830975,33634.99826718831,25952.23143880658,22518.26468442452,34574.27671930653,34412.770625599864,33604.37927460325,20496.69896112299 
7,33985.90500710227,33677.806433673366,31985.87088799715,33138.09292796594,26475.918473785638,22432.256988459052,34296.76926091088,33925.42358447027,33377.36182953143,23559.114430215835 
8,33484.224283854164,34442.13475527873,32808.58992632869,33171.79308959985,19509.92010544964,17119.19986232999,33625.51053969509,33978.191638187716,32839.54498454368,17407.501227846176 
9,32813.20481178977,32470.472553793854,30930.750608161292,31658.533267131446,20393.863368519535,17156.0759585754,32365.983318723618,32427.914379030346,31596.469139659555,19812.97564662469 
10,31733.209901751892,31459.28896707111,29876.184797595095,30657.922185942174,20009.393658396235,16362.91800720668,31640.129549402714,31327.223655825437,30626.587578005434,20395.44307942146 
11,31078.682972301136,30704.541158909615,29338.435165116785,30538.27922787213,21854.08248727709,16767.06414684952,32006.580417511293,31077.850364899994,30930.441121471235,26759.835411862372 
12,29950.692708333332,29588.71390550727,28299.419053899448,29409.715248269706,19703.837122656703,14108.870725467115,30520.51143966341,30066.24711348331,29788.045931048662,25246.347293197632 
13,28851.498372395832,28566.678074390897,27333.517110966684,27766.175796268464,15279.340372843564,10146.768684057473,28439.68262274456,28216.05636052422,27430.180420604735,17048.12136879611 
14,27412.840553977272,26367.728701883225,25208.22635183811,25953.86969239104,15236.108200252711,9089.286986479729,26717.316268575192,26452.878949718477,25969.686182860612,19560.479809083045 
15,25463.90272845644,24390.869275241635,23438.84232714759,23967.09344411993,13102.507976647974,6517.295586133003,24556.729648337274,24400.684275414587,23852.066193705567,17051.651960467338 
16,23147.983723958332,22130.834205540286,21296.471986472607,21638.5003201344,11222.551929047833,4590.7129284718785,22020.237146195388,21945.16450655604,21319.335805577517,14183.265608821392 
17,20308.550929214016,18490.46813378559,17883.387960546548,18359.27188013172,10395.48836322908,3217.6277409457675,18907.953513251552,18586.965244029052,18331.32280536771,16220.390205807209 
18,16291.897238991478,14437.324693419734,14174.814929178117,14153.786869076439,7960.476762175441,1907.8994104270655,14108.814161368766,14389.276047381103,13745.931448067384,9047.275819957555 
19,11412.36368075284,8832.557925668292,8669.780929243267,8773.245020297125,8127.991050955832,2681.2291681341826,8904.743432255604,8752.795521725677,8613.52316925776,9915.527516063989 
20,6423.9924945253315,5842.83962679863,5936.826913472317,5745.0490040242075,9916.881704380236,5183.67935913086,5325.337901389511,5828.747468988478,5292.170810426175,1939.4257513067294 
21,3372.8628614021072,2384.045931709949,2250.385266958326,2213.568362220587,9613.840093702227,6646.527203125,2148.963276846791,2207.9013770135493,2051.965401779927,1624.0906115728653 
22,1712.3145742705374,1280.375100590123,1253.9190529071643,1212.2275301919879,9886.80383490239,8153.50809375,1181.045253216505,1268.8347574200184,1135.5198429844677,1231.1789025052487 
23,1129.5109655206854,1328.018482686008,1294.574130480364,1216.5879130260423,9445.637067825719,8725.597381835938,1235.233804070767,1270.6766660233736,1222.5065894262045,1893.2581889692842 
24,733.5312051484079,567.6332586749188,491.5535322082705,500.6760473614074,10349.318091667146,9635.357026855469,508.9144323409013,533.0256524669546,481.45120903096347,298.9462955467291 
25,473.59859952059657,445.3525169497335,379.55068164631103,396.13433375469225,10158.577573889464,10143.766088378907,393.62894056217743,424.2869734733198,368.21769308445835,147.98182781045884 
26,364.8245230010061,480.2042339158141,417.8364079514187,446.4718048051316,10603.36049079019,10691.247215820313,435.64804902865177,467.1492262217756,403.76914383880796,88.25708421020956 
27,343.89048605254203,487.4339041803943,446.08142466768624,420.8151537564881,9732.922795400053,10626.614827148438,435.36784874867834,424.5474884827752,448.5412614384592,537.1259368271008 
28,265.8131779757413,268.23717268560495,231.0229234328307,227.6657787134871,9883.46340193221,11047.068327148438,234.2883457550332,238.66374966307728,234.2484927231893,210.00559413115866 
29,240.8979518774784,202.85593501609233,157.64633599324566,174.10345700235106,10106.402338385105,11319.602098632813,176.18592068026402,179.467815580301,169.02827451568098,73.46621250850893 
30,184.32039740591338,285.30961701001974,243.4975698608098,266.48906769777324,10148.819957550348,11543.265474609376,254.17292259037308,276.3355948350131,235.43240062940865,65.03344999712147 
31,164.62577207160717,164.66502167332504,130.56054194253352,135.43317671159096,9692.113662363052,11460.8191875,138.1478201462198,138.3438177492488,140.1172973826751,80.6502425776124 
32,167.3514047680479,218.35187639228172,184.6603081179762,210.08142853292264,9881.141505421281,11731.80657421875,194.38963352498786,213.66099920456855,183.53725103063135,74.6924570664037 
33,162.7191742405747,170.36992511106448,156.96935430126885,151.82328433380275,9335.155723889618,11523.437666015625,152.09697419200464,148.73610892467946,161.13034343935922,135.88689764725416 
34,117.41896629333496,167.11213847057687,155.80554630292994,150.69266608153657,9250.045471667201,11624.519786132812,148.64473975209333,145.6017512552403,158.75953232997097,135.56274107067287 
35,91.66191060615309,109.15864392035951,97.19446776605108,100.96577365073561,9264.365767386429,11741.717890625,96.66445360271679,98.94037046168745,100.84892202931876,70.5346433579214 
36,90.87199673508152,96.54992406215156,80.92150383298647,85.84315577759966,9288.121023479514,11789.755658203125,82.11231327603943,82.89877128707617,88.03444469602965,53.79893704487383 
37,89.52109845479329,82.65315902078783,69.67183240224918,74.30714857810177,9073.801801762424,11731.241361328124,70.47716970187518,74.32892248305865,74.32072268751637,43.07439501900971 
38,78.45433709115693,134.64327374367457,109.63812472495768,128.3093052901514,9262.528114415898,11939.109306640625,117.19610189734027,129.71967734396645,111.5630555611197,58.27365363964625 
39,65.77061401713978,90.97441772526336,83.11207234878506,85.16850630305707,8988.184712272421,11815.257935546875,80.1358367262059,78.79724745040387,86.66644484905899,57.61978379645944 
40,59.741931135004215,62.66634370647371,55.351756325775966,59.37533829939738,8737.12130368673,11686.350870605469,54.2913746343595,59.110492999196055,57.50588684517145,34.49695920852758 
41,69.49570311922015,59.29634734685843,40.90541031518537,50.71959724469669,8922.465964437903,11767.93598046875,46.721326251078395,50.54379667913169,48.801711945871354,18.524303572291508 
42,52.01284092122858,96.49322837190496,94.49626156628545,92.70398673733696,8663.160550442315,11669.259475097657,85.75919547134684,86.54281453538687,94.90487054383196,66.97260485418327 
43,67.10933636174057,51.612350878834,43.70300417788534,50.008192040191965,8668.389886827648,11607.482673828124,45.36435162569769,50.08294214436412,45.75845372067206,24.824134534927087 
44,52.3806980306452,51.27105004360693,44.38395793043284,49.69025670926832,8747.477388639718,11680.353733886719,44.610722188927234,46.23940046097525,48.92349611120857,29.460584168009927 
45,40.2739430918838,71.98594235397668,69.78074932481059,69.54173482062667,8594.93714683509,11623.77081640625,63.49663984991982,67.01551836176962,71.7062668389231,54.43398838149197 
