Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,201757.37062026514,68309.81777257654,66817.77333171066,68123.96853266531,251232.6289375,136169.2589921875,72524.7037002275,68353.35668958533,70172.35489684867,25580.15668680895 
1,56632.928888494316,46258.804811630514,41846.72551960806,45310.730848114144,99715.52226171875,86025.2750703125,51480.92858404493,43925.63649100327,44579.25368599248,18972.037563042162 
2,38019.540216619316,36303.00468542602,31843.97284019802,35610.99672918374,34758.96751171875,43774.59361914062,40569.42096749687,33988.54956270072,33400.876550780835,21823.122160581686 
3,32347.45723839962,33545.51570365906,29370.02230391211,33110.9055961122,19464.49822679138,27506.428811523438,34534.309368285845,32571.050721146345,30907.650476211078,21899.825315714002 
4,30152.464370265152,32067.002513626758,27929.79455491503,31504.017877809787,12536.779996641397,17414.387387207033,30569.233508974256,31682.32272667423,29313.379483387114,23410.501644031407 
5,28071.395137902462,29612.360140136414,26202.216368539608,29066.469279581175,8956.32044684825,10794.268422198891,27063.012576603414,29360.186619554042,27276.960916021377,21401.490773272635 
6,26964.416237571022,28085.57574606899,24892.395206242403,27551.317842693807,7271.971346142307,6386.021944481135,24116.259431185008,28286.07644312501,25988.30185114135,20699.94841249452 
7,25620.197798295456,27621.03309892618,24017.181102143997,26699.041765253234,5979.941666144043,3462.30687537669,22169.915900058873,27684.130298013926,25266.545887275046,17911.34678997445 
8,24413.107614228218,25733.103857380946,22996.671920232904,25093.035301330754,6524.080047733629,2518.2474959087763,19402.959696614504,26393.06154793668,23917.629406186476,20638.366844647804 
9,23882.826911695076,24526.844861360125,21798.188977453545,24132.377842892955,6280.627806767558,2303.4012958823255,17948.130824439882,25770.44525867711,23108.246404534846,18887.738297834396 
10,22698.220954663826,26269.593287807307,22168.89489629848,25250.721026927018,5632.352238985262,3009.5952622849345,18164.321351530798,27039.07203736294,24334.833006850182,13524.895562815102 
11,22084.245930989582,24616.06948453506,21362.936278155852,23877.66601038129,6752.919626181394,5208.2105296902355,17064.937979435286,25643.15749915731,23277.12984134224,14468.76584599963 
12,20700.25362511837,21257.549362586356,18985.64149633858,20954.085045799315,6084.718819426522,4290.8370951610805,14384.214165748605,22707.24310747716,20296.090983915634,18523.807877181232 
13,19391.105320785984,20546.341913839842,18084.189726773908,19928.19586151736,6375.133206611679,5822.75070212555,13473.845371410667,21753.61521631846,19475.37287767646,17686.10147627078 
