Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,20169666.67850379,6852798.659089463,6653227.454411852,6779297.710244366,26624598.291015625,14498851.64140625,6903169.605153084,6992492.652083111,6978869.616191173 
1,5699109.67092803,4697330.306086063,4375378.308483865,4628455.585261765,12133052.153125,9948670.54296875,5014321.592248392,4574227.442688298,4643276.548723984 
2,3860123.399029356,3664177.518702838,3321561.942543255,3644535.5088783423,3798615.2832519533,4564888.816796875,3912436.55671339,3449463.06497699,3405072.418035126 
3,3321464.3613873105,3405190.8165619173,3127097.107875215,3387380.523983165,2239418.7052541734,2925614.5616210937,3517811.641507418,3237437.963614464,3137524.234191254 
4,3071807.6526988638,3292158.4086384475,2906491.078957346,3240267.1583481794,1989517.5380579955,2158447.7727539064,3246523.884017211,3241500.785288191,3013145.1069708066 
5,2895417.8740530303,3077185.971345822,2702430.21844999,3018502.8777848575,1455526.5540041805,1348723.6948364258,2895270.135467127,3038438.0336850407,2807216.4088601647 
6,2779836.5767045454,2905777.6518971,2612302.105567926,2852030.4178976207,1065137.0811163604,824963.4066155434,2556253.5174660976,2896063.8335203915,2654907.183412564 
7,2610864.024029356,2827048.2700048788,2517974.2050838866,2731198.5294876527,755313.7079863608,408313.77120105026,2260186.735861603,2811585.8832932417,2548667.9495072365 
8,2518562.822561553,2646562.493811263,2407698.587978787,2574618.195437365,816824.1428850264,235307.53803719586,2005560.4343084602,2695745.778307855,2432757.5150440335 
9,2392039.578894413,2553709.7189369192,2259026.154698428,2461232.518692973,674000.5282211393,115235.07840056383,1789897.6887508577,2615620.1393893957,2335767.25443033 
10,2306633.3436908145,2410938.776037979,2190383.2798390863,2349393.650415029,634840.0239831386,145333.9936997656,1651889.563637431,2525289.3415243267,2240570.873479557 
11,2156146.755149148,2647121.7597299153,2300087.40902706,2544295.9792125938,428908.09897229075,237741.63059338063,1590943.0687639741,2751075.093173654,2442147.5610371893 
12,2115551.134883996,2219978.7734656273,1960542.404312084,2136276.6785835656,662923.0577427933,241548.23293133648,1357189.45707345,2354449.019821572,2066517.668157859 
13,1984946.3230942234,2061100.875314594,2009349.256165246,2062409.9168529264,820461.0436483144,286744.39042663574,1401284.4358059228,2279802.307466751,2007704.9089131416 
14,1835639.2489346592,2045691.5224496652,1842364.7200215978,1980593.854077658,386101.298269579,600981.2512573242,1238557.5998072014,2166724.2341071516,1926576.0683565645 
15,1696574.7040719697,1809611.3899505562,1676296.250022571,1762906.8597774233,410303.730217062,732461.4873046875,1233467.8651982704,1904960.6393824778,1725663.0823435106 
16,1575381.8122632576,1608582.909451392,1471852.8494320314,1580653.6523745267,572874.1939412451,743604.3716796875,1167810.8734899461,1723417.5442618965,1560592.5796742782 
17,1508613.3663293086,1466313.7630649672,1451899.5377198723,1468515.6436958888,536485.1295459762,758854.6791503907,1411339.572672823,1537025.2097154497,1458741.0287666745 
18,1391104.3664180872,1340524.2389934363,1250606.9735677475,1323217.1310784726,542707.5340081506,809853.8990722656,1171907.1562905165,1423718.9339924273,1323183.2439223737 
19,1283220.351710464,1272675.422270596,1177732.9552561566,1256337.4137178124,303071.5523184003,1024845.7704589844,1164493.1290732324,1316567.4933347823,1248712.988765216 
20,1196663.3212002842,1104201.6980600234,1109161.7500673134,1127858.8840896157,458966.55560109613,891977.6699707031,1428759.6692741604,1139589.9477159143,1127911.7710794543 
