Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,206817.91719933713,70806.61545143313,71161.29391989709,71508.83019406414,141666.75435129547,41480.696103372095,74371.66706917841,70196.8238832891,72215.10694005081,27118.525161937745 
1,56126.626775568184,47453.55184896277,45579.08399038633,47430.60171876782,93924.03763171387,35989.120185775384,59065.73754252195,48733.003184781075,50911.09289946777,23445.258614030132 
2,38697.79039417614,35484.71374527388,33201.83807348557,34536.74197494125,35007.040481147764,32901.65698615101,47427.41888133705,34949.78740207804,35846.14716909647,20374.175546171165 
3,33449.33223839962,34227.448956201806,32966.57860589213,34725.703855356755,30816.97859937191,26672.667589845896,46504.368012495994,35139.59006860411,35808.73693255305,26418.986305211187 
4,31955.095466382576,33043.54474952194,30867.0718863021,31704.588853825906,16435.941079551696,29242.868522139914,42942.10869984008,31579.064961050273,32065.793818385126,17207.68447677496 
5,30718.650716145832,31553.940775458952,29470.22474910579,30455.546458455807,15501.067440310717,29352.875311091662,42165.34186737376,29958.85045619452,31050.96800303042,18261.672245560774 
6,29726.347330729168,30168.49722702715,28740.668144459196,29706.958714021803,15718.299884206146,24898.453963644683,40075.99453684154,29480.46553098423,30301.35920223677,20686.268319005965 
7,28850.64812677557,29733.655109705138,28132.07932138953,28859.79519803655,11985.041157891772,24772.09206532941,37879.1107049551,28450.113360711857,29024.943679058553,18018.41629685259 
8,28118.509321732956,28877.857602127267,27838.953644516336,28962.060154356568,14841.696670634152,23038.864241895557,37437.9704581936,28627.73808801615,29235.625904707438,23751.16893358043 
9,27614.462150804924,28366.926117392853,26919.608287153693,27544.202729912282,11709.187996823921,25642.210667839445,36099.503241816776,26925.28838133633,27678.76560652748,18327.516406226343 
10,26648.734108664772,26955.72602106115,26049.13751754322,26599.386928652762,12758.4816647074,22650.602179059268,34198.72854931003,26287.68958667679,26783.698656199456,20633.692668564825 
11,25868.891734730114,26727.36404350082,25644.678110080327,26404.20871973246,12626.858791864224,24905.081265457393,34380.85895019147,25752.32495539856,26654.121587275982,21091.37358585113 
12,25245.933223839962,25840.199120084708,25228.062458179924,25586.91394981783,12412.655166777431,20098.811337837666,31725.276148062596,25373.44193948668,25686.012687947154,19031.48611154706 
13,24611.08436908144,25117.973947236802,24331.527535886766,24853.232630184637,11743.506855798983,20210.520499874146,31021.746147999085,24545.56140821603,24948.13310081959,18686.876245135554 
14,23838.87371271307,24403.92460865654,23658.853158167865,24331.036511640967,11344.38298879186,18813.226097889663,29504.986791505045,23966.586294059336,24354.5050739547,18750.826740067787 
15,23157.17909564394,23614.542033547496,23300.63508091423,24078.81163139689,12582.904507020115,16937.59692799227,27145.538521822928,24158.287340600968,23793.43170017779,22250.224120110222 
16,21794.553133877842,22580.870266255744,22420.888391335277,23131.070654890493,13031.411376894519,19955.8708680979,27416.61806435758,23116.210669330656,23238.877007646115,26232.974767731695 
17,20935.148866595642,20683.347427585257,20248.018036296533,20748.176713220826,9790.88310028975,16129.067035990543,22152.104764117717,20426.022226005465,20302.717989962755,16694.454749969667 
18,19636.039284446022,19730.199464543006,19995.2277056595,20738.337633963773,11296.069858423232,15349.795938646705,21986.62527618912,20948.179829314977,20601.07826068744,25136.94415292874 
19,17345.233058120266,16362.912768494984,16321.50688914352,16898.519445901155,8369.885276064962,12949.52316917193,18104.07491890764,16634.134068943924,16627.229040999264,17099.483468207934 
20,14976.127752130682,14016.381530306075,13734.152479340666,14152.51396712087,7591.983554709971,12944.545789900929,17408.186284086107,13584.616085003496,14306.925312729083,14522.266703588813 
21,12072.019153941761,11382.366878474164,11030.089860514501,11677.00880542422,6688.945014369905,8562.957506306679,16190.812574025735,11453.954474610091,12152.093080907527,12658.889573686241 
22,11456.275124289772,8389.803655091027,8119.379879959027,8472.937406410158,6656.579565579534,7573.571603255447,15154.256202908471,8220.33581839525,9607.349843217611,10062.328226480842 
23,7458.5537960168085,7181.426565267178,6385.990806652514,6890.8424168134725,6539.0836284954285,5965.782871277809,16646.031010529132,6595.855909313596,8590.314655222051,5152.0091638846025 
24,5090.1548998283615,4606.700256106257,4194.979712356406,4511.595685748048,6095.833484467842,4734.546298496121,21729.03327760782,4335.720326576926,7873.891779122615,5420.327870776057 
25,3710.3436464251895,4127.669398482847,3336.800273320559,3811.5918641282915,6563.60283738859,3790.0763572843302,25836.763489772944,3510.7676857731344,7999.870003319889,2223.1848705606235 
26,3020.1861757220645,2707.703664904071,2408.9803570349018,2565.100849132897,6461.604304934617,4157.888828491337,33225.801283271045,2496.5950830851384,8516.969537173114,4422.397411291137 
27,2281.8988832415957,2061.537419050667,1774.2064291230506,1931.853700223433,7507.4186348417325,3930.7185773563383,35615.074181097865,1894.2137585280632,8459.54691339932,2866.4962306929974 
28,2169.399696118904,2369.2613370157615,2134.1922051894126,2215.787194987789,6718.351398908064,4108.002775769862,44450.35268844664,2275.927333351435,10236.200330026448,3778.2842971045375 
29,1652.6016383315578,2290.5048825529548,2184.661896465785,2263.1619895998538,7150.45882653296,5394.449251452386,46834.837398524054,2286.512407081157,10748.70430858457,3975.5930591225624 
30,1327.5028732762191,1235.684835686663,1048.8177704027523,1118.0155037660486,8590.780345638903,3382.123488194823,45716.136709643244,1141.7164661380575,9462.808539646365,1595.947571864672 
31,1095.2220163056345,1274.107463470182,947.7524898492545,1081.0928069192767,9086.910730344414,2912.2984341603087,47038.19127154565,1084.56732830498,9561.668218939878,641.9220591523144 
