Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,26725.36683516069,10972.435148055614,10718.29926559195,10368.566481973976,31678.65178627062,15607.478776402399,11031.965066852794,12360.355611243285,11786.042595707811,11843.932058987208 
1,7836.033156423858,6186.332457987947,6578.180043359914,6864.024290213706,29876.17668337023,1910.9553180302428,6770.710494663252,11379.846044519458,10304.329279425636,10426.659278170671 
2,6847.090252962979,6417.125563712402,6502.361063765672,6676.762619036203,34293.95668425958,505.5466002188543,6625.652184002034,12298.87337535068,10671.500464541139,10758.58628480602 
3,6028.856846780488,5596.247945111168,5828.509772532492,6103.788457336579,25297.025004258052,917.809255075048,5833.338193166711,10736.735331789838,9582.767761368677,9693.725676458173 
4,5876.897086519183,5737.775419675357,5765.078760734126,6018.157746842044,24015.26320972708,1052.092786203505,5760.615217761323,10772.22696177084,9520.31669750535,9640.321454272047 
5,5676.527488592899,4966.098769880987,5475.735898690841,5591.091478733835,27015.12116942797,572.2421148879356,5576.036789793545,10236.273362132813,9055.449107111242,9207.706641942506 
6,5620.264966560133,5392.024740836974,5664.424875723304,5846.690541431203,23571.066467728466,1071.2882306329616,5587.371215270064,10417.39337360021,9318.458030488295,9456.73933626837 
7,5385.070283485182,4858.885501397078,5432.31612209707,5564.912941124931,24595.741279975777,738.4473357214301,5557.17445546384,9700.550230717472,8667.665339223295,8797.227430220277 
8,5240.059161908699,4516.477178126276,4904.213546885995,4998.220456160239,24833.495442742245,838.9936680595965,5060.267290738706,9305.442308288906,8146.208183720778,8280.004584185732 
9,5315.373784845526,4839.716233478768,5115.611510267637,5236.354186691006,24896.6047866059,599.5187106241181,5225.071227022896,9444.09044833146,8243.22003436964,8339.936907495678 
10,5041.026725191058,4439.926489622953,4775.916318525768,4991.238760830206,22022.876243045182,781.8525554002832,4914.894982968457,9211.56623344185,8177.248126367668,8225.88209402189 
11,4695.456620418664,4305.188572086148,4652.068372188731,4818.737367990665,20796.961896299243,981.3827053360467,4705.879893017258,8753.041963470914,7777.004277212851,7848.026210213921 
12,4467.334438092781,4907.969706478115,4971.68884113721,5137.2710800074765,21617.741363513283,1175.4537967976416,4944.145335077623,9181.645844789082,8086.923711650144,8044.931215731313 
13,4523.3135685776215,3947.7247907610017,4094.6315280025206,4339.98944060982,23240.311618431053,818.4671664794215,4299.850482106523,8132.650110520981,7109.60237210216,7067.216869042488 
14,4476.236999396122,4336.746746148837,4262.320433559711,4462.339488930794,21023.932899867228,956.5452220272338,4372.743519592285,8343.192366488278,7150.533729659481,7117.829554941275 
15,4067.0265631242232,3863.7693585722664,3944.2445585374953,4073.0377485326753,21946.14563132093,995.0859567867999,3982.3639348258757,7881.726756969467,6768.604322902579,6667.317498796998 
16,3945.0154333403616,3861.5711982799567,4335.513882483447,4502.461576366634,19451.23505029767,892.2876315443573,4656.5983682496035,7511.687142150872,6756.7036066992905,6837.898484556237 
