Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss 
0,26897.480334657612,11867.52744772772,11109.95261628098,11843.092997682887,11035.677088789385,32567.777487945557,18708.733625116758,11869.674610877179,12546.93775591324 
1,11247.969078295158,10767.128387528368,10341.695852140845,10673.83771982079,7556.870408422768,19345.39119662838,17306.718029973854,10813.170191355677,11371.933379219034 
2,10491.60581068559,11221.679381650885,10757.102718572933,11253.170366310385,5161.526438357024,15016.834301458894,21815.508110186947,11230.137395227815,12684.687894977149 
3,10325.821102026737,11380.231467405902,10578.866544711611,10985.52527868627,4925.87805752249,10225.79577030436,16443.03138216543,10892.44520075615,11469.693882689957 
4,9911.431722929983,9970.748249687997,9719.851812336387,10164.830483577476,4614.994530592443,11458.643976661291,18446.20741984807,10256.98335766837,11250.57265220245 
5,9489.257090019457,9481.855729069366,9141.230514686376,9556.349003246101,5371.600409402,9640.700487273049,16699.615561460145,9683.364276882785,10395.530706873164 
6,9367.129308527166,9526.550868992723,9132.13075000653,9452.89170266753,4622.5737849079305,8530.384876380234,16030.471341848792,9625.900107195648,10253.631833936568 
7,9478.044874017889,10130.906055104299,9674.509016991697,9985.917227869108,5090.32052120787,7006.357643619366,16149.390498523962,9924.386720534983,10712.333932869189 
8,9300.925798127146,9063.536816117263,8949.581167939326,9330.658913916768,5348.589644776797,6903.770245252421,15711.221409785514,9524.265626749326,10112.679231759505 
9,8736.60678285541,8710.85129756167,8532.249295101814,8849.780576825771,4935.927580997322,6253.048929911025,18563.449193498316,8886.462708441944,10310.415918093713 
10,8853.157089695786,8914.246829340871,8509.20297209903,8825.581581397237,3675.9958425318773,4685.699269979261,15439.880924333538,8866.148867863789,9792.336947006743 
11,8104.47457631429,8066.321041373329,7684.778869819052,8152.548530307814,3106.33860525652,3966.446217832339,17039.103504912277,8092.746935371623,9455.484541107575 
12,7620.437639409845,7539.273258036416,7658.462313125741,7932.166722555854,2612.88520787112,3353.801679548598,21109.119748742716,7990.434160645795,10096.84112873629 
13,7318.603006998698,6800.226968317034,6590.457078503438,6811.604015578487,2287.8556663590625,2202.7871381592827,19406.94176293608,6745.131591925874,8909.626822574366 
14,6787.787818908691,6164.433226961088,5894.740928252668,6322.609082898591,2423.107767064509,1998.0923467002576,22990.694532647543,6251.617501692567,9088.55829725433 
15,5746.262267141631,5225.0675852246795,5112.78704272596,5222.12063199834,1681.6561562387906,1788.1692481140694,24551.14553199634,5058.438836642052,8577.288562407532 
