Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
0,28191.682699954872,12902.777027951091,13030.60290888829,12724.421481315698,13942.503002027795,19938.806008148193,14276.75248531669,11936.523617694225 
1,10893.303212252531,9492.085774131649,9783.672308866944,10647.140236893018,9168.212901889998,4864.350452006793,8275.550756110542,9964.151553956 
2,8853.136334274754,8345.313523569,8713.016379282448,10171.548272244472,10257.45111511974,3162.2747985631295,6304.432709473837,9655.61527379537 
3,8418.287884105335,7978.322650487356,8296.560983835203,9787.026636231161,10205.794103601762,2061.554330247422,5533.046346938378,9261.574202018242 
4,7753.4550926902075,7582.881671568359,8210.435485977925,9211.276093124692,9894.92041531342,2611.955226252554,5823.206442226577,8842.81255680912 
5,7365.64778992624,7440.482929091435,7949.820286590684,8933.682309241976,7887.713104441762,2650.061116379523,5176.823229968719,8634.726754645195 
6,7224.445007786606,7011.7478758941215,7187.67761560779,8575.336374703144,7207.120983593859,2289.6879791651736,4760.563633160913,8530.681229386852 
7,6732.92503934918,6728.532517531525,7036.109716512858,8344.985148916627,8738.243079982978,1525.3100845645736,4839.132763607381,8174.3152248921215 
8,6455.913416544597,6186.776898903126,6490.0287160526495,8040.47491887873,9604.89782844931,876.3119416771706,4603.366442422345,7873.37939790599 
9,6363.2145737156725,6261.731644083228,6307.923563589446,7913.366515670567,5975.089595320076,1732.9542916937396,4340.242090942481,7649.526798784651 
10,5837.553804570978,5745.573107680125,6332.280295083001,7536.065579104738,7351.965836402797,746.5027621040686,4469.358195421542,7528.435856157996 
11,5863.6280522202,5849.040931605061,5886.802307176869,6848.117665766319,7443.95578545169,1348.837184177709,4599.722439973895,6973.628187774657 
12,5180.97042314934,4927.402656812479,5236.269885739945,6312.111909088984,7334.875606921315,1205.405285424835,3840.05867008504,6410.919258695334 
13,4836.594471786962,5768.084685357961,6403.975214033442,7073.027172057145,4613.032736144748,3627.051763817549,4706.290869601878,7325.06770234688 
14,4574.962890509403,4080.9115438370113,4723.785432136333,5230.296199292273,5213.537114118086,1795.872141983125,3313.4864090233136,5416.436652000341 
15,4100.219478029193,4737.824192625224,5384.895806853481,6048.7750010387535,4530.97641041733,2043.4414620364144,3685.5345885732677,6411.184509270592 
16,3492.6467924407034,3260.4306476373727,3619.103649832001,4429.110002080377,5668.593981679799,1107.818104112707,2921.3042617699016,4488.635474459084 
17,2983.733000899806,2427.435348547788,2687.11402491387,2988.3022712953157,4217.569111395994,2434.2054356550275,2435.6696155934974,3242.6533525514883 
18,2791.520644679214,2179.4710399890478,2627.1454549644322,3065.5360324564676,4229.628834412677,1487.6378418800066,2109.497876669746,3178.1371741245152 
19,1923.058473702633,1531.6522384745122,1930.9382847488482,1926.189284559834,3048.957430995221,2988.3788749729238,1650.2993946837728,2084.348478543793 
