Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
0,27630.086771647137,14609.507051652427,14081.779622609083,15301.304559653998,25036.701846995205,39067.58264923096,15442.720681873128,14623.668583506636 
1,11461.46647713401,11107.532838936999,10672.424782601587,11283.989587274427,6973.0198405971105,10977.202991776552,11175.164175398462,10444.936037300631 
2,10500.732797564882,10642.529734687943,10354.908316845798,10977.642652105027,9585.804360414028,6065.292575689254,9205.135112488375,10025.661601315729 
3,9994.4429917769,10032.749472733629,9872.13515118773,10199.201838335055,7123.3614175329685,4258.504552891548,7729.707216101076,9373.972098836675 
4,9125.137803048798,9801.377870848679,9071.1070890629,9712.501569111191,8747.332132947897,4423.850798733273,7241.432919761503,9204.64250654769 
5,8917.40006533536,9780.149131655855,8758.56805767328,9487.354220733981,9779.241885929592,5205.967194990315,6878.37887789052,9118.477889146376 
6,8509.264327540543,9774.896649398013,8960.09668485484,9499.355051380862,8941.255056483775,4425.941480370841,6005.2006776953895,9097.395255210158 
7,8302.987520622484,8757.822611815891,8777.819966273704,9169.045369179066,9419.938196861021,2979.7770422534027,5814.70807842873,8677.405408454873 
8,7867.455141472094,8066.742291437591,7954.212144683334,8144.896597276488,5369.459327347409,3581.0873426830703,5047.206537772016,7823.094741412729 
9,7784.107289169774,8094.395237119648,7983.969193281076,8148.336758868443,5953.579900881788,1641.1540686107464,5842.887618312633,7827.484870463147 
10,7137.006146980055,7078.001496492937,6752.800305166928,7153.978312722025,5101.422470702583,2035.76150353899,4301.574825181789,6947.966735845908 
11,6712.978143403025,7080.692688239732,6990.519538070398,7408.963729212805,4432.945777630363,3378.122909896122,4459.566693519591,7404.587132388633 
12,6356.232724045262,6805.20044057423,6423.561516912227,6897.362703579618,9854.850884008594,1705.7511517054459,4360.210616070169,6761.6679213873895 
13,5760.439060673569,5893.801584698314,6102.910345448466,5877.528896723792,3907.8166885675864,3498.892229872939,4572.549285614581,6034.056581292513 
14,5072.821414831913,4578.020159854877,4517.332927855796,4823.229202922491,4172.248102726368,1961.7786982125604,3865.4871505535907,4743.427743959116 
15,4284.878675865404,4913.176893247033,4591.268325468422,5121.411705853441,4620.5221184829015,1274.0323895865586,3600.298251809858,5033.506422720844 
16,4069.4472515221796,3200.7626449896748,3057.745507187262,3250.4231141185082,3797.994130656682,1707.4682728559244,3174.3942398734534,3274.762252990989 
17,2834.9724090460577,2345.467680105629,2216.844826584969,2400.2883167021355,4110.0964395973015,1552.7676415189403,2579.487624573149,2461.19657088602 
18,2450.7006558504972,3640.0729075175636,2854.117547435531,3362.0827940052377,6111.250718153133,1350.9552876574685,2880.223499409808,3466.08360348111 
19,1963.3305390675862,1611.3485610489927,1642.049681962778,1472.4150050498347,1966.1943225609205,1544.5491120731015,2300.7960113197796,1639.6271188035491 
20,1168.3127121491866,894.5926649088893,803.9049123377029,826.3937650464184,1612.660274315246,1563.2849083053106,1282.9884736434467,877.1871361750091 
21,821.0638920466105,743.0269169906064,729.3338595720707,754.5900442185433,1501.7809286578063,1623.0225435905131,1083.1901662777993,782.3127872294456 
22,765.2584393819174,1514.9522637357004,1614.164833466005,1615.7358332214324,2169.7555171489134,1256.7829769801756,1652.0795459417277,1596.2826201095506 
23,657.9269264683579,633.3961326457922,621.7317989822736,644.9436177506635,2753.325074980379,1507.3300597664945,845.4047854402604,651.8265768997087 
24,446.34791287508875,517.8998023759309,512.4566652833439,534.2421832835738,2814.9693433957123,1561.297462823761,750.9145492658863,514.2973657136727 
25,510.7584555943807,413.75076447580227,444.2605102435595,434.2183885949525,2668.855413062903,1401.855891896118,776.328846262551,436.5320898052632 
26,350.73547128475076,296.45646196226556,310.44591766923173,326.90958049173935,2372.3498159003325,1457.9814760161782,629.9163954328251,305.59958498589714 
27,322.68153338721305,639.9014500714522,726.7066674375544,634.6280879421203,2376.122528715746,1428.4287312501795,1247.3936589191035,653.5046947207768 
28,288.9981170495351,352.2656788059402,374.2741885621985,371.60629628782624,2589.1081796420503,1682.596549996266,590.1945569198951,370.3155850815936 
29,517.6080982793461,853.410793860637,730.5077321363237,787.4669174693147,4692.603760535433,2013.034422417981,1014.538659697547,755.131973385581 
30,324.756495699738,242.8201268487222,241.11732728992177,267.2805820589907,3081.4982494136248,1665.3598861465464,531.9435189210681,235.7159984976097 
31,222.33289949821705,300.7000659453689,265.4083311399962,296.6336242353806,3226.945809059695,1765.2432111296803,501.4575419142144,285.01859144865955 
32,285.3021773425016,236.25051550887534,250.20104388899523,235.2895540032261,2326.9596674899753,1522.776533173155,683.2672253832221,238.5817877867783 
33,400.47659774621326,247.78053321215702,207.2889032278585,243.99459425257592,2712.9407476912315,1628.8490693380734,463.5090778538841,227.15092410583165 
34,191.49087541031116,186.5145519543706,209.92869580917127,181.31514824625992,2446.3152748817297,2038.9420362543458,573.2509629413026,184.78148093002673 
35,264.94039739623213,166.6206819573385,183.3619430726976,172.3628246770153,3239.803021045192,2568.5142388605186,442.7200394603314,173.22450696439265 
36,306.34742790099347,484.93990264918096,406.31560544997694,467.8253105161551,4244.572546069728,2440.455246108616,715.6099606745069,459.7393582893529 
37,226.1427137887839,301.4901875095618,263.28049371880803,318.2730297410068,2947.6126829644854,2480.1686103927614,527.705735507483,275.38674554932294 
38,203.55509582794073,436.52752217526563,405.13927997862146,444.69207612298845,3623.4292745075654,3069.752214600332,507.4330047001603,441.4576396583725 
39,236.36831857941368,174.58288921266407,192.98973519162325,168.72030990759012,2449.1700606285244,2665.925558890961,598.0559236739384,167.75176261711547 
40,166.14398044167143,142.12123511336156,174.52673704622205,161.51872755054575,2518.7699127826995,2902.2219294847105,477.43674159489456,157.39887093156867 
41,113.4011193206816,162.35952123589718,195.01027688405398,172.40957100897577,2678.8660449049407,2679.3149204181855,568.0642365521817,166.32882958092378 
42,102.81016677618027,111.4074339044366,122.17304114243598,123.4709747729983,3000.5053535450675,3299.5002448317946,333.42552360885895,106.63056808566617 
43,127.38321405468565,118.2124294772576,143.6153468766408,136.87128611350127,2269.215448923159,2660.012597164139,390.83548620086515,128.81592157539563 
44,122.76126277266127,116.25161973365984,135.36658880165487,125.49630747048431,2548.6255042268467,3566.0315287947656,369.7168463858965,115.59422140395618 
45,95.64641158689152,95.3049592224967,106.54023902393722,102.25798272419634,2545.1677517684893,3026.12339774603,309.3144274013699,93.33058417223292 
46,120.79890248450366,222.87880094159885,244.3290758460967,222.76119078502816,2460.043084304068,2770.4640542753505,639.1612538457236,210.06462596073106 
47,139.09060724756935,128.0358912562822,159.3411459141676,148.55442630872585,2495.455224711653,3259.0010446876286,404.0331847619534,148.75605482015672 
48,123.54653179645538,91.18777009682123,101.46419295918652,89.22897170124342,2297.468724391202,3226.7525421477853,319.21111459471285,88.864331181546 
49,152.64511216770518,131.03485288114058,131.90714768409433,114.49993944376438,3078.906971860712,3573.0881239414216,311.76704941661677,123.47233046129186 
50,180.39981090661252,127.51244813481429,139.9466476602441,130.18317261566497,2966.182296842219,3431.754177427292,304.544728238001,121.82413815012842 
51,257.61162516745657,209.0248585793694,203.3634504124186,205.77177359830094,2912.547440611034,3307.5988722085954,369.0329172325786,200.28963355189845 
52,134.86992287816423,328.952777357122,295.2805533598164,294.007417699932,3217.123203190295,3483.527260875702,349.4922030882684,296.12351881213255 
53,102.67050379153454,82.17702787517777,91.91984759292326,80.50691002898165,2802.8902844246636,3565.072689676285,291.9186626078941,88.32901094058252 
54,96.7275106997201,204.12987100512126,170.48402642745836,169.97732027335513,3035.3740309351683,3562.273495960236,325.77796827854326,176.03841482354983 
55,98.57572290030393,121.53196301236231,138.39731701944643,124.80250619676954,2212.808048104643,3180.4126711547374,495.9463592417742,122.55591376795783 
56,149.71993050792,92.58140030359452,100.07979807103422,90.97120429927891,2835.9503400030285,3183.3760370492937,275.8418660544994,88.70509732018327 
57,233.3823324604468,465.9081926465223,544.9075921586594,566.3133069506497,2907.2578261594226,3044.650512482226,375.4512757195807,551.7316325304971 
58,175.7745786146684,86.20994867183374,113.92593601598654,109.47717286245025,2499.6711554948147,2691.0392152428626,302.13721599415294,102.69234755011712 
59,86.58132562131593,71.81453570697118,91.1925102497658,70.58846697857226,2381.71236694038,3301.350982904434,275.9185452896381,73.86623921682039 
60,67.67733555400011,102.45747744538191,117.02148334245288,93.33320564918685,2719.3783699054243,3523.5848635673524,274.3245604001451,101.80870660271322 
61,202.23685209498262,304.36431486688684,323.019290297179,278.49071875158114,1944.8406060384236,2777.0614745438097,699.3783802130405,268.28586667425185 
62,234.62006296172285,169.56409585101858,162.380517701544,150.10624993755627,2864.108583506663,2884.272071456909,368.5418685062999,142.5327667228428 
63,82.16348441712785,74.36514575527609,92.11528213406564,62.13476820256037,2371.1956033124675,2882.740304017067,303.8057157851639,71.53338687610012 
64,59.5677594118046,61.63513733842087,78.58371765040728,63.41274923578985,2529.5901067477535,3059.503737092018,260.3951942051448,64.5070632217481 
65,72.75890082572445,82.50165063251916,85.91065067664992,77.02158318936782,2876.35248142413,3029.3625291347503,251.66921758418903,70.11248156094226 
66,164.34875758308354,94.09489420257725,108.56970557584606,95.4425248926229,3259.0422866786935,2979.951401615143,264.04756236191315,98.62089133234258 
67,87.37677696979407,115.43594081099663,125.57238966152929,96.42585581669991,2142.9687325711243,2862.5587356090546,283.9444330648606,107.88379300648903 
