Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
0,26897.480334657612,11867.52744772772,11109.95261628098,11843.092997682887,11035.677088789385,32567.777487945557,18708.733625116758,12546.93775591324 
1,11439.054518034964,10976.708695679243,10423.405452187251,10754.373514391855,5187.348194802878,17963.555438075728,17811.896014696547,11450.76829846967 
2,10915.732643821022,10397.175571676447,10087.035881900012,10326.198374448722,5305.140514897695,14507.357344001111,16743.42225802933,10950.925477921806 
3,10127.529577775435,10512.617871895018,10139.503493915312,10756.54033822884,5542.0504201163185,14105.444647233007,17260.21761222016,11403.8951344562 
4,9827.06254901308,9814.723456119966,9661.015039988743,10070.61601130627,5780.961878658708,12008.116127921096,16675.46645835822,10860.844512809394 
5,9730.007969249378,10230.536937742043,10037.768774521255,10397.062318879589,4841.833034263065,11532.998566013726,20464.57282946913,11982.050068443083 
6,9873.815565398245,9718.367104255543,9271.195370599351,9644.641888289945,6211.232060136414,9724.064991114847,18438.43123306546,10916.345411417096 
7,9448.672092322147,9248.68065073132,9033.655718705073,9297.201560094352,4735.670704744475,8502.798000123945,17067.73496311165,10394.374924678103 
8,9107.258236046993,9321.592724724847,9208.88167715591,9579.600576848765,8407.348879219824,8334.472526252433,15270.378310249838,10290.419622438501 
9,8944.978991421785,8779.846310773348,8719.461222399026,9033.725091007165,6002.175312886443,7169.908912971089,15653.13206971205,9953.789768520059 
10,8584.439826734138,8490.619446106437,8255.213327789508,8663.845702372166,4839.087671870203,5693.952675511078,15552.366950632982,9625.606864077237 
11,8441.342209324692,8318.783487744222,8027.103034090684,8426.901672674008,2720.271773822419,4947.020677876688,19055.179849528147,10116.738273160207 
12,7991.689335216175,7893.877614108328,7852.587638472931,8208.666391249013,3480.2085478259037,4119.024668992124,19177.38958411142,9966.528063050599 
13,8051.085645502264,7795.68892478913,7678.919345562837,7832.671771656023,4065.5591839849367,2574.965423633158,13856.691878048481,8772.093823224946 
14,7014.073707118179,6347.486194827985,6243.217492997388,6532.916480581695,2323.873857236594,2065.4659625397994,18890.22795359569,8605.595028002675 
15,6054.736530419552,6755.1663301423605,6349.5929388486675,6607.881812457321,3322.635455763322,4673.167055488978,17998.0763844811,8644.054831040536 
16,5095.929905862519,4726.51147371311,4514.580226290512,4749.72755904704,2389.4338101042595,5652.264327853243,22268.722834787517,7864.941943404626 
17,4057.664460846872,4458.233831569436,3924.1782480756906,4187.664342346157,748.194902667975,7264.599905502796,35123.53765094718,9721.914493777615 
18,2570.242521979592,1792.3506174692495,1711.9178469741325,1785.4841382120064,921.6143902645136,10640.034593892098,59376.166830171926,11792.326287983891 
19,1531.920565258373,885.7690281365067,847.8331262352876,891.375058309178,946.5293935233237,15130.388466835022,67684.50197404403,12598.384022145903 
20,754.7807137171427,768.3137685966826,633.0319184126436,716.893002870321,1862.7076486267194,20337.1294254303,80843.60234693455,14701.660756861604 
21,577.839415362387,527.7509363747869,571.1662915050305,587.0074325087577,1788.7920149366255,21878.657465934753,85127.9089872267,15214.323423470776 
