Deep,Scaling,Intv,C_D,Independent,Avg_variance,Avg_loss
False,Raw_data,False,False,False,11601.437477630703,12476.497794510651
False,Raw_data,True,False,False,150.23180660485588,239.80136943695004
False,Raw_data,True,True,False,194.6064399010032,302.2408953892347
False,Raw_data,False,False,True,61.001295866054335,186.02375101440788
False,MinMax,False,False,False,393.55787207807015,589.1513141011601
False,MinMax,True,False,False,1.6942965382489654,235.33805384214907
False,MinMax,True,True,False,111.94241181526195,190.21963063696575
False,MinMax,False,False,True,34.92652948207748,188.96923181299204
True,Raw_data,False,False,False,4046.845034380195,5158.468982999642
True,Raw_data,True,False,False,47.78610712691394,239.76714722688206
True,Raw_data,True,True,False,196.98124089840974,341.0729872616668
True,Raw_data,False,False,True,37.11438963863935,230.4576282176638
True,MinMax,False,False,False,31170.079832068077,39637.806711393496
True,MinMax,True,False,False,60.952379128427,232.758883683889
True,MinMax,True,True,False,159.849453578017,267.63643353760654
True,MinMax,False,False,True,56.078180310670604,238.2115907455647
