Deep,Scaling,Intv,C_D,Independent,Avg_variance,Avg_exp_loss,Avg_model_loss
False,Raw_data,False,False,False,5660.831170587895,7851.905725445191,14391.238280233061
False,Raw_data,True,False,False,2206.1788297908056,3049.7352691550545,136.98505425270008
False,Raw_data,True,True,False,141.4775084573363,206.83897569133617,95.69103083871325
False,Raw_data,False,False,True,152.8022920426497,204.4529077063252,128.67081250884647
False,MinMax,False,False,False,22283.687255388922,55688.29692870722,40103.69561820343
False,MinMax,True,False,False,43510.664667279045,54722.218785671364,1749.8350040435105
False,MinMax,True,True,False,14262.110621019645,19370.736906986942,10648.904807716743
False,MinMax,False,False,True,9775.751127633695,12064.82139207568,5076.09948140518
True,Raw_data,False,False,False,29660.072790108865,46498.087206370896,48427.826607165254
True,Raw_data,True,False,False,319.9674634792049,414.3592375288451,624.2042437593639
True,Raw_data,True,True,False,15851.870403515359,18986.597597950862,570.1893156129705
True,Raw_data,False,False,True,14843.7746745473,17996.36042246412,1084.243173704366
True,MinMax,False,False,False,9285.584313154617,18708.043493449728,10078.152460048965
True,MinMax,True,False,False,1431.0317704279178,2138.027723338735,343.92558997494325
True,MinMax,True,True,False,7370.219851795531,8772.192293485112,942.6035304596816
True,MinMax,False,False,True,19269.885776995336,23167.697649283306,292.69537699539654
