Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,obsv_test_loss,intv_test_loss,obsv_normal_loss 
0,8.524003030321513,0.006584520466535398,0.00697361768591007,0.006189690176238738,0.009093234615200885,0.004456216310803285,0.007719882264406852,0.007048283249827714,0.0071271795881334135,0.0053842103706621455 
1,0.0026682913633549383,0.0008829781622253661,0.0010757621118927653,0.0010183291621001622,0.0009228005258663074,0.0011475693699865008,0.0010111798979894893,0.0009676061535292213,0.0010905287696438392,0.0005415446539539292 
2,0.0005499883631080482,0.0011685533157234456,0.0011050981560738965,0.001048830520277555,0.0015387921350491496,0.0010434865214209665,0.0010665677224159342,0.0010712491526428725,0.0010694813138245607,0.001113905456185904 
3,0.0005374997482304576,0.0003426310186377278,0.0003971621552045532,0.00039173017472458047,0.0004229714754091063,0.00042040213869953824,0.0003782901586471432,0.0003628427367563081,0.000411971698710234,0.0002645775465200728 
4,0.00023062179960478798,0.00016170258825019978,0.0001874505180162621,0.00016905486075709242,0.0005902486465766188,0.0001474062301547008,0.00018634510235973067,0.0001628129724756011,0.00017579456338014942,0.0001457212648981354 
5,0.0001648171238491958,0.00022930805762502417,0.00025883566343597327,0.00021855953582120558,0.0002884538415804272,0.00022650645586139718,0.00022588714238646056,0.0002231739791603904,0.00021598056921754428,0.0002710631851288614 
6,0.00018130403366905574,0.00024669720799312217,0.0002822066798017096,0.00024293506555159717,0.0008376449532992325,0.00022744069489224472,0.00026383549139522564,0.00024780548078116025,0.00024787922335036685,0.00015263233894935446 
7,0.00025486170915373253,0.0003930683852772818,0.0004271495672380807,0.0004033425064103646,0.0014158404510819622,0.0003008293568543596,0.00038503287493076856,0.0003749421422205579,0.0004151723252663331,0.0003905104966142048 
8,0.00014484987898964445,0.00039553017183641744,0.0004235397361771476,0.00038967855054887756,0.0006898152314633421,0.00039999735416973436,0.0003674093226257558,0.0003981495202835195,0.00038142332160155944,0.0003900963748169506 
9,0.0005779921150233901,0.0025259098410839917,0.002819024744246137,0.002430930257779096,0.0064541434077519,0.00283666935745277,0.0022652266721353786,0.0027588433868094065,0.002629870822007341,0.001095295208339131 
10,0.0008267100885074218,0.0006404641564960518,0.0005680455443055621,0.000674804198513268,0.0004446787127793783,0.0007246946006930433,0.0006174713023095358,0.0006907514907215195,0.0006700242062732453,0.0005614806743052369 
11,0.0005250211007602378,0.00035541395958168457,0.00029731308913616417,0.000308864382467533,0.0014087319962051482,0.00018111593208001154,0.0003093378542969205,0.00027537229309637645,0.0002897419433899984,0.00022067864138848315 
12,0.00012991762009629713,6.390713219994737e-05,6.932969144445177e-05,6.734453866023005e-05,0.00012171631816215722,6.827558748283558e-05,6.511597043338258e-05,7.082552992692115e-05,6.454804772837441e-05,6.966106200598788e-05 
13,0.00011758386150542279,0.0003117136628705768,0.00034173412132147235,0.0003098064670813194,0.0009684330131577212,0.0003185289953064441,0.0002908770890070134,0.0003064093299203319,0.00029736607872825614,0.00014697063379447427 
14,0.0011616811007391361,0.0004883520430891686,0.0004257717608129812,0.000486057369238857,0.0010421791092909416,0.00043049166477260314,0.00048150209052726377,0.0004634369635315938,0.00043822488370209856,0.0003006937322588499 
15,0.0041080935061748305,0.016675285437451573,0.016704142109971717,0.015845697310199115,0.0455322387989419,0.015398377203270997,0.015235923751516367,0.015507697010035315,0.015408141342988535,0.008793849128598197 
16,0.007139843095308496,0.00066797393036053,0.0006746425027734185,0.0006860057465819747,0.0009087257653504821,0.0006976998759503861,0.000659501285033004,0.000673689066758687,0.0006821246312711526,0.0009107664260643133 
17,0.0003693109242635039,0.00011987564895947027,0.0001192804704139726,0.00011679511601153658,0.00018945739069806678,0.00011703872492021538,0.00012123023895664886,0.00011127041999956511,0.00012558582639079496,0.00013290193608028744 
18,0.00019576599517752888,0.0003809845637119638,0.00037433852032752363,0.00036763451033046125,0.00060364526999237,0.0004299538660344382,0.00035117816875018804,0.00034711228345529754,0.0003406553828093184,0.0003055647479069279 
19,0.0004814409680186531,0.0006456401422181043,0.0005893248055888694,0.0006480064404297714,0.000665143528205192,0.0007155541029273849,0.0006304170233159212,0.00062381567391471,0.0006391604059341916,0.0003343684539798275 
20,0.00013558294953823364,0.00011575924233832148,0.00010380531397965094,0.00011827848953643028,0.0002309751847743513,0.00010106323716549959,0.00010925625621088786,0.00012279729957401787,0.00012296202300646764,9.370001101562941e-05 
21,7.409884339246922e-05,3.6801191086313326e-05,3.729322382270725e-05,3.979845011699012e-05,6.455597835621773e-05,3.3633719030712325e-05,4.279826448265745e-05,4.4403253939631626e-05,4.331790950153902e-05,3.9582304436880376e-05 
22,7.127778189897072e-05,7.302670049376865e-05,7.766325281839219e-05,7.32117080423339e-05,0.00023641055718890414,6.953643187395109e-05,7.48284551836953e-05,8.384064939309654e-05,7.777982824217489e-05,4.6315697227727884e-05 
23,5.722258214205161e-05,0.0001115949109231752,0.0001115658444975508,0.00011578117735490112,0.00025468133089621146,9.120970126152983e-05,0.0001169671232537639,0.00011043169792839258,0.0001208435909532124,9.842642632027499e-05 
