Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
diff_mod,0.32332848582136897,1.7476854209115853,0.0011453483927007027,0.004579861615752877,0.7804708226784323,1.5586005865933046,-0.15044673646860252,0.011281528720031197,0.005656206092497335,0.0006624184241624443,0.6645619632529673
rand_mod,0.2664331753240295,0.38210941381698915,-0.0207331772055141,0.05972919322928278,0.6383334664538173,0.005715181689391602,-0.17076712228751634,0.003809687360296643,0.010457405058947935,0.0038289550148227647,0.09103848622215659
Total,0.28569180177323517,0.7099708142736997,0.036917389702413955,0.0179917751466597,0.6742237017705939,0.2815521189179711,-0.17105815747699776,0.003686378970870766,0.0041552927417535445,0.0008027611488899705,0.20280076969161823
Var_of_avg,0.2856918017732352,0.00034347236409546135,0.03691738970241389,0.0015680899532421208,0.6742237017705941,0.0024558579925733457,-0.17105815747699782,0.0001792511205803484,0.0041552927417535445,1.0729395795168136e-05
Average_total_variance,0.20280076969161823
obsv,0.27448426430160305,0.11517744504333041,0.03856647552285661,0.01089520094999082,0.6692674760471173,0.05996426512537093,-0.16584209194731095,0.0018588794884146604,0.0028140654194055326,5.4921734077374e-05,0.03759014246823684
intv,0.27424870156529535,0.1075804024820958,0.033765319913504656,0.008815919334813859,0.6313886539371873,0.008519327911294774,-0.16504079793375623,0.0015174037567655405,0.004043937901308283,4.51360819362079e-05,0.025295637913381235
ood_obsv,0.28586103857280276,0.9378349421938553,0.09636400532941555,0.01031626842065938,0.6676620896486376,0.038187516525195565,-0.19307664254156748,0.0005511594528542536,0.0005154974001165388,0.0001546565189448497,0.19740890862230187
ood_intv,0.2897951450543117,0.9673764270097661,0.07239636626151996,0.004205667610005734,0.658219701858373,0.0035906877078277694,-0.18117555368323335,0.002024108323380219,0.0014446445782456397,6.102744625168788e-06,0.195440598679121
diff_mod,0.32332848582136897,1.7476854209115853,0.0011453483927007027,0.004579861615752877,0.7804708226784323,1.5586005865933046,-0.15044673646860252,0.011281528720031197,0.005656206092497335,0.0006624184241624443,0.6645619632529673
rand_mod,0.2664331753240295,0.38210941381698915,-0.0207331772055141,0.05972919322928278,0.6383334664538173,0.005715181689391602,-0.17076712228751634,0.003809687360296643,0.010457405058947935,0.0038289550148227647,0.09103848622215659
Total,0.28569180177323517,0.7099708142736997,0.036917389702413955,0.0179917751466597,0.6742237017705939,0.2815521189179711,-0.17105815747699776,0.003686378970870766,0.0041552927417535445,0.0008027611488899705,0.20280076969161823
Var_of_avg,0.2856918017732352,0.00034347236409546135,0.03691738970241389,0.0015680899532421208,0.6742237017705941,0.0024558579925733457,-0.17105815747699782,0.0001792511205803484,0.0041552927417535445,1.0729395795168136e-05
Average_total_variance,0.20280076969161823
